,ttest,ttest_p,TF,TF Plate,Row,Col
43.0,-3.7646016967521736,0.00020594978032832458,Cyc8,1,B,6
33.0,-3.6934643521535926,0.0002526981379595864,Dig1,2,B,4
102.0,-3.6255825631386456,0.0003140842013097221,Gln3,1,E,6
110.0,-3.5886981734223,0.0003752365415293799,Cup2,2,E,2
139.0,-3.6980305819105603,0.0005168602378709801,Sfp1,1,F,6
178.0,-3.5722993083535415,0.0005506631785209461,MSN4,2,H,3
96.0,-3.3872961932143397,0.000757098242782018,Arg81,1,D,1
87.0,-3.319875358794156,0.0009976635839228038,Tea1,1,D,10
147.0,-3.3544340812752274,0.001042505321497202,Mot2,1,G,3
106.0,-3.3171221478546955,0.00107014093081039,Cst6,1,E,10
155.0,-3.2142519640976426,0.0016336065379468857,Gal3,1,G,11
72.0,-3.1387216890985346,0.0017762732451663077,Cup9,2,C,12
71.0,-3.1367353703510332,0.00181010530253015,Sut1,2,C,11
133.0,-2.991311611898922,0.0028719995926944236,Ixr1,1,F,12
134.0,-3.022190032931759,0.002954949836032002,Spt8,1,F,11
39.0,-2.977214123483576,0.003104035711552921,Gal11,1,B,10
190.0,-3.1864842253897243,0.0032778946775462656,Stp4,1,H,3
127.0,-2.909433140539951,0.004026518816420382,GIN1,2,F,6
162.0,-2.854371952718746,0.005572490792737354,RDS2,2,G,6
174.0,-2.7878256868874622,0.005929536096143752,PUL4,2,H,7
140.0,-2.8022864613148974,0.006024718783124618,Sko1,1,F,5
150.0,-2.7418315661530874,0.006395571647700984,Hcm1,1,G,6
94.0,-2.719749589349592,0.0066886937911871365,Tup1,1,D,3
62.0,-2.717388775508601,0.006758517587061029,Rox1,2,C,2
118.0,-2.6711858686402903,0.007736850210314293,Spt23,2,E,10
88.0,-2.587887642141476,0.010324314492178167,Sok2,1,D,9
172.0,-2.4474131805778043,0.014879433144086712,ACA1,2,H,9
153.0,-2.423471447045798,0.01646748217373246,Rim101,1,G,9
181.0,-2.693993443722787,0.018403514164932164,Gzf3,1,H,12
30.0,-2.2949680748854617,0.023983880109117638,Cbf1,2,B,7
164.0,-2.2444680006512225,0.025329811556813974,MSA2,2,G,8
52.0,-2.0619120579318597,0.03989917576950055,Leu3,1,C,4
175.0,-2.362978811382353,0.042393939840395765,HAP4,2,H,6
83.0,-2.1172073683361314,0.07858611035533383,Cin5,2,D,2
122.0,-1.6944025164271066,0.09067837792221335,URC2,2,F,11
79.0,-1.6778890117331835,0.09395719254136614,Hmo1,2,D,6
107.0,-1.6077496290716382,0.10862914993265807,Pho2,1,E,11
61.0,-1.3667711745771647,0.17215141344964865,Yhp1,2,C,1
187.0,-0.9912768328492834,0.3234353109381318,Tos4,1,H,6
185.0,-0.5102774192454625,0.6126616165704704,Mig1,1,H,8
1.0,,,Put3,1,A,1
2.0,,,Stb4,1,A,2
3.0,,,Fhl1,1,A,3
4.0,,,Msn5,1,A,4
5.0,,,Tbs1,1,A,5
6.0,,,War1,1,A,6
7.0,,,Gcr1,1,A,7
8.0,,,Swi4,1,A,8
10.0,,,Pip2,1,A,10
11.0,,,Pdr3,1,A,11
12.0,,,Ifh1,1,A,12
13.0,,,Gat1,2,A,1
14.0,,,Stb3,2,A,2
15.0,,,Uga3,2,A,3
16.0,,,Hog1,2,A,4
20.0,,,Mig3,2,A,8
21.0,,,Cad1,2,A,9
23.0,,,Mac1,2,A,11
24.0,,,Yox1,2,A,12
25.0,,,Yap3,2,B,12
29.0,,,Phd1,2,B,8
32.0,,,Kar4,2,B,5
34.0,,,Mig2,2,B,3
35.0,,,Bcy1,2,B,2
36.0,,,Wtm1,2,B,1
37.0,,,Hal9,1,B,12
40.0,,,Snf2,1,B,9
44.0,,,Cat8,1,B,5
45.0,,,Sum1,1,B,4
46.0,,,Adr1,1,B,3
49.0,,,Sfl1,1,C,1
54.0,,,Reb1,1,C,6
56.0,,,Yrm1,1,C,8
63.0,,,Mal33,2,C,3
64.0,,,Pog1,2,C,4
65.0,,,Hap2,2,C,5
70.0,,,Ino2,2,C,10
81.0,,,Fzf1,2,D,4
91.0,,,Mbp1,1,D,6
128.0,,,Rfx1,2,F,5
137.0,,,Std1,1,F,8
141.0,,,Ndd1,1,F,4
144.0,,,Xbp1,1,F,1
145.0,,,Crz1,1,G,1
146.0,,,Dot6,1,G,2
148.0,,,Spt10,1,G,4
149.0,,,Snf1,1,G,5
154.0,,,Com2,1,G,10
161.0,,,TOD6,2,G,5
171.0,,,DAL80,2,H,10
176.0,,,GCR2,2,H,5
177.0,,,RDR1,2,H,4
182.0,,,Hfi1,1,H,11
183.0,,,Mot3,1,H,10
184.0,,,Mth1,1,H,9
186.0,,,Tec1,1,H,7
188.0,,,Stp2,1,H,5
189.0,,,Rtg3,1,H,4
191.0,,,Lap3,1,H,2
192.0,,,Ume1,1,H,1
