,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170031,-50.0,0.0,11.0,-9.0,24.0,40.0,100.0,-136.0,69.0,-23.0,-17.0,145.0,-130.0,-22.0,103.0,-103.0,-49.0,-7.0,-66.0,3.0,2.0,147.0,-127.0,-130.0,103.0,57.0,-76.0,39.0,8.0,4.0,8.0,20.0,-28.0,5.0,-6.0,16.0,36.0,-10.0,-95.0,-173.0,145.0,-63.0,2.0,17.0,10.0,-37.0,-54.0,56.0,34.0,-42.0,33.0,-27.0,31.0,8.0,5.0,30.0,12.0,20.0,99.0,-78.0
170034,-177.0,19.0,9.0,3.0,17.0,-40.0,52.0,-34.0,-5.0,-15.0,-3.0,-12.0,-55.0,81.0,26.0,-23.0,-13.0,38.0,36.0,-83.0,-42.0,79.0,-115.0,59.0,27.0,-46.0,37.0,58.0,-30.0,46.0,-64.0,94.0,-40.0,50.0,-94.0,-158.0,10.0,-120.0,-104.0,-62.0,137.0,180.0,-3.0,2.0,11.0,-18.0,37.0,-98.0,58.0,23.0,13.0,-75.0,74.0,1.0,-23.0,22.0,-49.0,-19.0,27.0,4.0
170036,-192.0,-18.0,21.0,-32.0,75.0,-84.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170037,-45.0,18.0,17.0,36.0,10.0,-37.0,-36.0,132.0,-175.0,37.0,-34.0,145.0,89.0,-55.0,-51.0,71.0,-44.0,-5.0,50.0,-19.0,-415.0,2.0,-2.0,125.0,-118.0,34.0,0.0,-19.0,59.0,-85.0,70.0,-66.0,1.0,34.0,25.0,5.0,-28.0,67.0,48.0,58.0,-24.0,29.0,58.0,5.0,-8.0,0.0,63.0,-12.0,73.0,4.0,-24.0,-11.0,-40.0,105.0,-37.0,47.0,-51.0,-26.0,43.0,-57.0
170038,-120.0,-19.0,34.0,43.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170043,-35.0,-11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170049,162.0,13.0,-1.0,43.0,-11.0,-34.0,44.0,-52.0,45.0,-1.0,23.0,73.0,-151.0,12.0,-32.0,-120.0,64.0,83.0,-152.0,-69.0,20.0,-31.0,-2.0,-153.0,-63.0,-131.0,75.0,-78.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170055,,66.0,68.0,13.0,103.0,37.0,-7.0,28.0,-67.0,34.0,-14.0,70.0,-39.0,-37.0,101.0,-29.0,-20.0,-21.0,13.0,10.0,24.0,-7.0,13.0,11.0,-55.0,14.0,29.0,44.0,-55.0,-46.0,102.0,15.0,-16.0,-18.0,38.0,-44.0,75.0,-27.0,48.0,,,,,,,,,,,,,,,,,,,,,
170057,,-9.0,2.0,-10.0,11.0,5.0,0.0,-13.0,3.0,-3.0,7.0,80.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170061,,,36.0,107.0,18.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170064,,,,,,116.0,228.0,29.0,-113.0,-7.0,42.0,37.0,-53.0,34.0,93.0,-8.0,5.0,32.0,-5.0,-1.0,-76.0,-23.0,-36.0,8.0,-75.0,212.0,0.0,-15.0,-64.0,32.0,-46.0,0.0,5.0,-36.0,-36.0,-83.0,-1.0,37.0,5.0,16.0,11.0,-24.0,-44.0,-12.0,9.0,-80.0,105.0,-38.0,125.0,15.0,-31.0,8.0,-43.0,22.0,7.0,-32.0,-34.0,44.0,5.0,4.0
170066,,,,,,-7.0,36.0,-43.0,2.0,-1.0,9.0,244.0,13.0,24.0,-127.0,72.0,-107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170068,,,,,,110.0,79.0,-52.0,149.0,66.0,-10.0,46.0,-38.0,-7.0,25.0,13.0,-7.0,2.0,-23.0,7.0,-1.0,-41.0,80.0,-131.0,112.0,38.0,-152.0,-14.0,107.0,-98.0,6.0,-12.0,-90.0,-16.0,43.0,51.0,-18.0,17.0,33.0,-54.0,44.0,-68.0,7.0,-52.0,149.0,-9.0,-2.0,10.0,9.0,134.0,-40.0,57.0,198.0,-225.0,62.0,7.0,230.0,-163.0,-3.0,49.0
170081,,,,,,,,,-29.0,-1.0,-1.0,225.0,6.0,-26.0,110.0,-10.0,-32.0,4.0,18.0,9.0,20.0,33.0,-26.0,-137.0,21.0,8.0,23.0,-88.0,246.0,-2.0,65.0,-56.0,49.0,17.0,156.0,-192.0,-58.0,-100.0,-45.0,147.0,-17.0,37.0,-41.0,-38.0,24.0,35.0,0.0,30.0,2.0,28.0,-53.0,22.0,116.0,-23.0,33.0,-37.0,13.0,-64.0,16.0,-49.0
170099,,,,,,,,,,,5.0,3.0,267.0,-297.0,193.0,-53.0,84.0,14.0,3.0,14.0,98.0,50.0,11.0,-72.0,142.0,18.0,-15.0,-33.0,50.0,5.0,-13.0,8.0,-25.0,41.0,-31.0,-10.0,0.0,-42.0,93.0,-50.0,105.0,-18.0,20.0,-14.0,-104.0,82.0,10.0,65.0,-36.0,60.0,-20.0,-12.0,0.0,-140.0,-13.0,-222.0,-65.0,192.0,-18.0,26.0
170101,,,,,,,,,,,144.0,-66.0,-22.0,-48.0,-1.0,56.0,141.0,-112.0,27.0,42.0,-7.0,45.0,49.0,58.0,-2.0,-6.0,1.0,63.0,-54.0,-29.0,-5.0,80.0,-68.0,0.0,15.0,-60.0,30.0,19.0,19.0,47.0,150.0,17.0,57.0,-43.0,-104.0,85.0,-26.0,75.0,-122.0,-33.0,-309.0,-57.0,-8.0,8.0,-8.0,-29.0,-7.0,90.0,2.0,-84.0
170104,,,,,,,,,,,,,,54.0,9.0,58.0,39.0,-6.0,73.0,-31.0,86.0,0.0,-33.0,17.0,-56.0,42.0,-24.0,77.0,-1.0,-34.0,22.0,-122.0,52.0,14.0,41.0,2.0,17.0,39.0,-12.0,81.0,-55.0,3.0,-1.0,8.0,1.0,-8.0,11.0,-10.0,17.0,10.0,-10.0,-15.0,26.0,-14.0,-3.0,,,,,
170105,,,,,,,,,,,,,,77.0,25.0,118.0,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170107,,,,,,,,,,,,,,-6.0,4.0,140.0,44.0,1.0,-127.0,245.0,48.0,-94.0,137.0,-182.0,51.0,-26.0,9.0,29.0,35.0,-29.0,1.0,13.0,-48.0,-81.0,77.0,-68.0,111.0,-24.0,48.0,-53.0,-36.0,35.0,8.0,-10.0,9.0,-163.0,53.0,,,,,,,,,,,,,
170108,,,,,,,,,,,,,,-11.0,3.0,62.0,13.0,40.0,21.0,-37.0,-29.0,-73.0,61.0,-19.0,-47.0,13.0,5.0,-13.0,212.0,23.0,10.0,-52.0,72.0,80.0,-51.0,-258.0,75.0,-66.0,17.0,59.0,-31.0,36.0,29.0,-36.0,-89.0,53.0,12.0,-92.0,138.0,-21.0,27.0,-151.0,40.0,41.0,14.0,-35.0,94.0,-19.0,4.0,-103.0
170112,,,,,,,,,,,,,,66.0,23.0,-20.0,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170114,,,,,,,,,,,,,,-86.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170116,,,,,,,,,,,,,,,,29.0,40.0,56.0,-46.0,29.0,-16.0,53.0,-23.0,-260.0,25.0,46.0,-101.0,-3.0,29.0,-28.0,10.0,-11.0,156.0,-111.0,21.0,21.0,55.0,-75.0,-14.0,-48.0,57.0,24.0,-18.0,-11.0,-2.0,13.0,-25.0,-38.0,-5.0,8.0,70.0,33.0,245.0,-84.0,10.0,29.0,-7.0,-32.0,29.0,-14.0
170120,,,,,,,,,,,,,,,,-81.0,30.0,8.0,55.0,37.0,34.0,62.0,31.0,-7.0,15.0,-53.0,14.0,-193.0,242.0,57.0,-85.0,96.0,111.0,-89.0,99.0,-65.0,2.0,38.0,-125.0,-35.0,153.0,-18.0,7.0,-156.0,29.0,-14.0,-9.0,17.0,29.0,-60.0,99.0,-213.0,116.0,88.0,2.0,0.0,18.0,33.0,13.0,-34.0
170121,,,,,,,,,,,,,,,,35.0,123.0,108.0,64.0,73.0,-4.0,13.0,-30.0,42.0,20.0,-71.0,-28.0,166.0,-44.0,51.0,39.0,-76.0,22.0,-36.0,-2.0,-66.0,47.0,-22.0,0.0,-60.0,67.0,-25.0,22.0,44.0,-17.0,-86.0,-25.0,-140.0,15.0,-24.0,15.0,-214.0,-4.0,18.0,18.0,-25.0,57.0,-15.0,150.0,32.0
170130,,,,,,,,,,,,,,,,,,-49.0,4.0,-4.0,5.0,-13.0,7.0,150.0,165.0,87.0,38.0,26.0,0.0,-41.0,-39.0,34.0,23.0,-13.0,-18.0,-46.0,-42.0,94.0,78.0,15.0,-88.0,9.0,46.0,-92.0,-93.0,33.0,-57.0,9.0,8.0,-34.0,-29.0,-76.0,19.0,17.0,35.0,51.0,10.0,50.0,-47.0,-80.0
170132,,,,,,,,,,,,,,,,,,57.0,60.0,-96.0,55.0,74.0,5.0,-80.0,118.0,147.0,40.0,-104.0,-27.0,-117.0,-114.0,69.0,15.0,-94.0,-34.0,-13.0,7.0,248.0,26.0,-248.0,118.0,-67.0,80.0,-137.0,67.0,32.0,-26.0,-79.0,-8.0,3.0,11.0,-7.0,33.0,-33.0,-18.0,1.0,-3.0,4.0,117.0,-105.0
170138,,,,,,,,,,,,,,,,,,-8.0,-12.0,-26.0,5.0,5.0,-6.0,52.0,75.0,-129.0,245.0,-51.0,-46.0,21.0,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170149,,,,,,,,,,,,,,,,,,,,39.0,2.0,46.0,2.0,88.0,28.0,25.0,87.0,-69.0,42.0,-74.0,2.0,-209.0,223.0,-14.0,15.0,-234.0,98.0,-55.0,-39.0,64.0,16.0,37.0,7.0,39.0,1.0,34.0,23.0,-13.0,-51.0,21.0,7.0,-13.0,142.0,-32.0,27.0,-348.0,276.0,11.0,-160.0,-30.0
170152,,,,,,,,,,,,,,,,,,,,-155.0,194.0,14.0,-66.0,-65.0,81.0,-30.0,-62.0,-5.0,-74.0,126.0,147.0,-79.0,219.0,-21.0,57.0,-1.0,-26.0,0.0,-1.0,-30.0,88.0,3.0,-23.0,13.0,-94.0,-4.0,-35.0,-125.0,-25.0,95.0,102.0,3.0,21.0,-7.0,13.0,34.0,2.0,3.0,6.0,-59.0
170160,,,,,,,,,,,,,,,,,,,,,,124.0,-24.0,27.0,16.0,32.0,55.0,-12.0,11.0,-326.0,141.0,-35.0,144.0,-29.0,12.0,16.0,-25.0,-11.0,3.0,14.0,248.0,50.0,4.0,-19.0,27.0,65.0,-60.0,,,,,,,,,,,,,
170164,,,,,,,,,,,,,,,,,,,,,,75.0,64.0,-40.0,77.0,-21.0,26.0,43.0,-33.0,36.0,43.0,22.0,-83.0,8.0,65.0,32.0,41.0,4.0,-41.0,23.0,55.0,85.0,-29.0,-17.0,15.0,-44.0,-23.0,-132.0,-43.0,76.0,9.0,-16.0,-11.0,6.0,7.0,13.0,13.0,-15.0,41.0,-143.0
170167,,,,,,,,,,,,,,,,,,,,,,-22.0,87.0,38.0,57.0,22.0,-40.0,-7.0,18.0,88.0,-144.0,-143.0,-30.0,-10.0,-9.0,9.0,-13.0,-1.0,15.0,-8.0,12.0,9.0,116.0,30.0,53.0,129.0,-104.0,-91.0,19.0,55.0,79.0,29.0,-7.0,-48.0,-157.0,-18.0,21.0,72.0,0.0,31.0
170168,,,,,,,,,,,,,,,,,,,,,,,23.0,-45.0,280.0,53.0,0.0,48.0,-9.0,86.0,12.0,-37.0,-21.0,59.0,20.0,-13.0,-10.0,-13.0,-31.0,9.0,6.0,54.0,-53.0,-10.0,20.0,-120.0,18.0,-110.0,-45.0,42.0,21.0,40.0,-26.0,24.0,33.0,85.0,24.0,-2.0,-4.0,-22.0
170169,,,,,,,,,,,,,,,,,,,,,,,23.0,33.0,2.0,37.0,10.0,72.0,23.0,7.0,-7.0,0.0,17.0,5.0,14.0,10.0,20.0,20.0,-13.0,-60.0,22.0,-6.0,-8.0,-51.0,23.0,-231.0,122.0,51.0,33.0,92.0,-4.0,55.0,-23.0,-42.0,-7.0,5.0,-10.0,2.0,20.0,-10.0
170170,,,,,,,,,,,,,,,,,,,,,,,4.0,-21.0,31.0,37.0,-74.0,-83.0,197.0,15.0,-193.0,44.0,-34.0,13.0,-20.0,-28.0,1.0,1.0,-1.0,-4.0,0.0,58.0,29.0,-57.0,-27.0,104.0,42.0,32.0,68.0,90.0,-44.0,61.0,-62.0,98.0,-7.0,-381.0,1.0,143.0,39.0,-181.0
170175,,,,,,,,,,,,,,,,,,,,,,,,4.0,15.0,-18.0,-1.0,11.0,21.0,-13.0,82.0,56.0,17.0,14.0,40.0,-193.0,-32.0,-4.0,101.0,-97.0,29.0,67.0,-66.0,19.0,6.0,18.0,75.0,-19.0,34.0,-5.0,-13.0,13.0,115.0,-118.0,-153.0,15.0,3.0,-22.0,95.0,-34.0
170176,,,,,,,,,,,,,,,,,,,,,,,,-39.0,152.0,30.0,108.0,19.0,17.0,-32.0,-13.0,33.0,8.0,31.0,-28.0,-33.0,86.0,-61.0,53.0,-17.0,1.0,39.0,-20.0,-80.0,3.0,-65.0,39.0,49.0,11.0,32.0,47.0,-27.0,71.0,-15.0,1.0,-26.0,16.0,13.0,18.0,-17.0
170179,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,-21.0,-40.0,6.0,17.0,25.0,-81.0,25.0,55.0,32.0,-225.0,173.0,93.0,-53.0,-55.0,-26.0,15.0,-55.0,-13.0,55.0,-129.0,107.0,-51.0,-27.0,-44.0,99.0,-102.0,292.0,37.0,-14.0,28.0,6.0,36.0,70.0,45.0
170185,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,-21.0,57.0,88.0,5.0,25.0,-11.0,56.0,61.0,-28.0,-34.0,82.0,-3.0,-9.0,68.0,-57.0,-7.0,23.0,-13.0,-10.0,36.0,-31.0,-58.0,69.0,-5.0,-84.0,17.0,21.0,60.0,6.0,20.0,19.0,-3.0,-8.0,-41.0
170186,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-89.0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170187,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,221.0,-59.0,20.0,121.0,-8.0,-9.0,68.0,-83.0,10.0,-42.0,-27.0,-8.0,87.0,-46.0,53.0,-94.0,26.0,14.0,29.0,-14.0,-7.0,-8.0,-1.0,-38.0,-4.0,-12.0,72.0,-12.0,-4.0,-37.0,86.0,27.0
170188,,,,,,,,,,,,,,,,,,,,,,,,,,,,-143.0,191.0,31.0,-12.0,55.0,-32.0,70.0,3.0,-310.0,295.0,51.0,60.0,94.0,-77.0,-12.0,28.0,-53.0,9.0,7.0,16.0,-2.0,-5.0,16.0,-71.0,56.0,26.0,37.0,40.0,78.0,-38.0,19.0,2.0,12.0
170189,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,57.0,27.0,-131.0,41.0,20.0,33.0,46.0,260.0,-14.0,-86.0,37.0,63.0,-62.0,-2.0,84.0,46.0,-25.0,-27.0,-68.0,-32.0,150.0,1.0,46.0,167.0,-133.0,12.0,-47.0,-59.0,34.0,-34.0,75.0,-66.0
170191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.0,7.0,235.0,35.0,-11.0,63.0,54.0,-4.0,-36.0,108.0,-12.0,38.0,50.0,-10.0,-32.0,-69.0,60.0,-35.0,-1.0,-13.0,8.0,-13.0,13.0,-18.0,11.0,16.0,13.0,14.0,-13.0,37.0,-1.0
170193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,-59.0,-86.0,-73.0,171.0,-11.0,-8.0,-37.0,19.0,-21.0,-102.0,14.0,57.0,76.0,-12.0,18.0,4.0,28.0,12.0,31.0,53.0,-48.0,,,,,,,,,
170199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,18.0,26.0,15.0,43.0,34.0,25.0,37.0,-5.0,23.0,-1.0,18.0,56.0,36.0,64.0,-86.0,18.0,34.0,54.0,-10.0,-60.0,76.0,162.0,-91.0,-33.0,-9.0,29.0,-40.0,1.0,-125.0,11.0
170200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,190.0,-116.0,269.0,22.0,63.0,-20.0,-26.0,38.0,-106.0,21.0,-55.0,85.0,125.0,-71.0,-79.0,267.0,-178.0,71.0,-130.0,12.0,-2.0,-46.0,11.0,-17.0,7.0,-21.0,63.0,148.0,-27.0,-214.0
170204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,-66.0,-55.0,7.0,26.0,190.0,-78.0,-26.0,-46.0,30.0,-114.0,28.0,-9.0,33.0,163.0,24.0,81.0,-77.0,-30.0,17.0,18.0,-62.0,80.0,-18.0,47.0,20.0,-44.0,39.0,10.0,12.0,11.0
