,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,37.0,86.0,247.0,130.0,-67.0,140.0,-3.0,-31.0,29.0,67.0
180398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,-135.0,152.0,101.0,52.0,39.0,-19.0,-7.0,-3.0,-9.0,29.0
180404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,50.0,12.0,55.0,18.0,-18.0,42.0,-28.0,16.0,35.0,20.0
180410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,-148.0,-64.0,154.0,-61.0,,,,,,
180412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,160.0,12.0,29.0,-72.0,68.0,-50.0,-129.0,75.0,37.0,-88.0
180418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,0.0,43.0,143.0,-18.0,-95.0,-19.0,40.0,-16.0,72.0,-46.0
180421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,8.0,93.0,86.0,96.0,-7.0,17.0,-1.0,-33.0,3.0,11.0
180425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,-9.0,153.0,-111.0,233.0,-138.0,-63.0,-33.0,155.0
180426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,25.0,87.0,38.0,-94.0,-97.0,40.0,-32.0,91.0
180427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,-85.0,-53.0,9.0,-28.0,-1.0,7.0,5.0,12.0
180431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,49.0,-69.0,35.0,19.0,1.0,35.0,-101.0
180432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,44.0,34.0,50.0,35.0,26.0,9.0,-48.0
180433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,167.0,-75.0,39.0,-66.0,83.0,108.0,65.0
180434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,33.0,-7.0,-9.0,-37.0,136.0,-1.0,25.0
180436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,33.0,25.0,-3.0,72.0,-223.0,272.0,37.0
180437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,7.0,-13.0,2.0,-18.0,53.0,147.0,62.0
180438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,86.0,-58.0,-26.0,-1.0,79.0,166.0,-161.0
180441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,-17.0,68.0,-36.0,76.0,-55.0,31.0
180442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.0,,,,,,
180443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,22.0,16.0,17.0,-94.0,104.0,-161.0
180445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,-35.0,247.0,17.0,8.0,28.0,33.0
180448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.0,22.0,3.0,-58.0,6.0,39.0
180451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,10.0,-34.0,29.0,6.0,45.0
180452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,59.0,-103.0,82.0,147.0,-131.0
180453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,-31.0,128.0,35.0,-110.0,-87.0
180455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,-74.0,6.0,133.0,-70.0,-83.0
180456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0,197.0,-308.0,40.0,22.0,-46.0
180457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,-52.0,236.0,34.0,7.0,-71.0
180459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,89.0,-20.0,-176.0,58.0,3.0
180460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,40.0,-43.0,17.0,-24.0,74.0
180461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,-34.0,-16.0,31.0,58.0,73.0
180463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0,16.0,8.0,-5.0,53.0,40.0
180470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,41.0,126.0,78.0,-9.0,60.0
180471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.0,42.0,67.0,-26.0,-30.0,-49.0
180472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,80.0,-28.0,-5.0,27.0,-4.0
180474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,-31.0,4.0,-3.0,110.0,-87.0
180475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,-11.0,-35.0,65.0
180477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.0,68.0,62.0,-14.0
180480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,136.0,13.0,-19.0
180481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,-7.0,99.0,27.0
180482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,-48.0,19.0,-226.0
180483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,-40.0,-3.0,-1.0
180484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.0,30.0,294.0,-135.0
180485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,-31.0,3.0,-6.0
180486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.0,-11.0,263.0,-81.0
180487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,6.0,245.0,-93.0
180492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,14.0,101.0,-87.0
180493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,22.0,21.0,-1.0
180494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,296.0,-19.0,-35.0
180495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0,181.0,-100.0,-41.0
180499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,-34.0,42.0,34.0
180501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,56.0,-24.0
180510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0,-26.0
180511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.0,55.0
180512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,-5.0
180515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0
180519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
180520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0
180523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
180524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
180526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.0
180533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
180534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0
180535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
190002,-142.0,-31.0,60.0,128.0,77.0,3.0,-75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190003,-29.0,32.0,-16.0,-95.0,99.0,-34.0,55.0,-141.0,109.0,-53.0,22.0,-59.0,32.0,40.0,-19.0,53.0,-6.0,-40.0,-1.0,-16.0,26.0,117.0,-144.0,24.0,26.0,-61.0,39.0,-8.0,5.0,17.0,10.0,45.0,-12.0,2.0,4.0,-70.0,-128.0,17.0,59.0,10.0,95.0,-101.0,28.0,-43.0,4.0,3.0,18.0,-3.0,42.0,-53.0,-31.0,-182.0,37.0,-90.0,40.0,-104.0,223.0,-12.0,29.0,3.0
190005,14.0,45.0,20.0,-74.0,78.0,-33.0,29.0,-58.0,101.0,-10.0,58.0,-96.0,-11.0,60.0,32.0,-28.0,-49.0,11.0,36.0,-36.0,-28.0,45.0,-25.0,-2.0,69.0,-62.0,27.0,18.0,76.0,-131.0,36.0,22.0,-45.0,23.0,39.0,-35.0,-6.0,54.0,-26.0,-49.0,52.0,-69.0,31.0,35.0,-18.0,66.0,-24.0,-14.0,28.0,-50.0,39.0,-27.0,77.0,-58.0,-136.0,-183.0,-31.0,1.0,35.0,-165.0
190007,49.0,18.0,-24.0,-69.0,158.0,-10.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190008,-18.0,43.0,-27.0,-6.0,70.0,57.0,-115.0,48.0,-87.0,6.0,-22.0,-67.0,54.0,-21.0,14.0,7.0,8.0,-1.0,-11.0,-1.0,-5.0,8.0,3.0,-26.0,1.0,27.0,-23.0,-92.0,80.0,14.0,-1.0,-51.0,22.0,20.0,-2.0,12.0,-41.0,-20.0,-17.0,177.0,5.0,-35.0,-27.0,-76.0,89.0,10.0,-62.0,-73.0,3.0,14.0,44.0,-3.0,25.0,-1.0,22.0,7.0,-97.0,71.0,77.0,-56.0
190009,-18.0,28.0,-16.0,32.0,-46.0,-40.0,5.0,-18.0,54.0,-13.0,-4.0,44.0,19.0,-17.0,-13.0,98.0,-76.0,-5.0,0.0,27.0,-27.0,-32.0,31.0,7.0,-15.0,-7.0,-22.0,26.0,13.0,-48.0,20.0,-19.0,-40.0,-59.0,15.0,16.0,16.0,11.0,29.0,56.0,-93.0,2.0,-31.0,-27.0,-9.0,-11.0,-2.0,21.0,58.0,-54.0,2.0,,,,,,,,,
190010,-35.0,0.0,-49.0,28.0,46.0,-71.0,64.0,-80.0,62.0,29.0,-11.0,-20.0,-7.0,28.0,-15.0,34.0,4.0,0.0,-21.0,21.0,-4.0,4.0,0.0,-3.0,-13.0,-11.0,-11.0,-44.0,-18.0,-111.0,113.0,53.0,39.0,104.0,-54.0,-23.0,79.0,-2.0,6.0,-17.0,3.0,-9.0,-27.0,130.0,-21.0,1.0,8.0,41.0,-16.0,3.0,-20.0,-3.0,-5.0,-44.0,23.0,-9.0,9.0,-29.0,17.0,-325.0
190011,69.0,-27.0,-22.0,-90.0,137.0,-144.0,80.0,-80.0,9.0,44.0,62.0,-36.0,-108.0,94.0,-30.0,50.0,21.0,-167.0,54.0,-119.0,56.0,25.0,-5.0,6.0,66.0,-85.0,39.0,14.0,-110.0,2.0,25.0,51.0,-41.0,-5.0,-37.0,27.0,-13.0,-14.0,-6.0,21.0,-9.0,29.0,-5.0,-11.0,8.0,17.0,58.0,-2.0,42.0,2.0,25.0,-8.0,-63.0,18.0,68.0,-17.0,32.0,47.0,16.0,34.0
190012,-1.0,5.0,-5.0,85.0,-93.0,-11.0,13.0,-20.0,-1.0,7.0,-9.0,-4.0,5.0,-5.0,-18.0,-3.0,38.0,-15.0,55.0,-20.0,-9.0,8.0,14.0,-15.0,-4.0,-24.0,-37.0,-8.0,17.0,-14.0,31.0,42.0,-11.0,11.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
190013,-6.0,48.0,12.0,-63.0,44.0,64.0,-86.0,-84.0,85.0,-29.0,-7.0,20.0,25.0,1.0,22.0,43.0,-63.0,-21.0,8.0,28.0,-18.0,10.0,4.0,-7.0,-18.0,52.0,-23.0,-8.0,-2.0,3.0,-4.0,-26.0,22.0,3.0,27.0,-38.0,35.0,-61.0,-53.0,63.0,-32.0,41.0,2.0,-99.0,1.0,13.0,20.0,-2.0,-23.0,12.0,-10.0,-7.0,-48.0,-3.0,33.0,-26.0,68.0,71.0,-23.0,17.0
190014,7.0,35.0,17.0,39.0,-7.0,-28.0,95.0,-31.0,1.0,-51.0,45.0,-17.0,52.0,38.0,-39.0,5.0,-40.0,-9.0,-13.0,-42.0,62.0,-3.0,-94.0,-119.0,82.0,16.0,51.0,-33.0,59.0,18.0,-19.0,-71.0,-9.0,4.0,45.0,-144.0,-42.0,-19.0,109.0,49.0,58.0,-84.0,43.0,-112.0,101.0,-15.0,-1.0,19.0,49.0,39.0,14.0,-37.0,-31.0,-38.0,7.0,58.0,-71.0,60.0,-27.0,55.0
190015,-30.0,25.0,-32.0,-13.0,7.0,-26.0,-18.0,12.0,6.0,1.0,10.0,-2.0,13.0,-22.0,-5.0,-29.0,-6.0,2.0,-5.0,-32.0,37.0,20.0,16.0,6.0,12.0,9.0,-2.0,-34.0,20.0,-10.0,-5.0,5.0,29.0,-40.0,-15.0,-27.0,17.0,-14.0,12.0,14.0,16.0,56.0,-90.0,-61.0,43.0,-41.0,41.0,4.0,44.0,-89.0,-6.0,-46.0,22.0,-11.0,-17.0,23.0,3.0,53.0,-17.0,-23.0
190016,-5.0,47.0,-16.0,-7.0,68.0,-19.0,15.0,-80.0,103.0,-41.0,-1.0,-66.0,34.0,90.0,-92.0,62.0,-56.0,37.0,-44.0,-28.0,-41.0,11.0,5.0,-11.0,26.0,-21.0,5.0,-20.0,-17.0,7.0,-36.0,20.0,23.0,2.0,-17.0,-30.0,37.0,7.0,15.0,-27.0,14.0,9.0,27.0,51.0,-8.0,-18.0,-15.0,-50.0,10.0,17.0,34.0,-18.0,1.0,-25.0,7.0,-19.0,-24.0,-34.0,1.0,19.0
190017,45.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190018,1.0,89.0,-67.0,20.0,32.0,64.0,-74.0,2.0,39.0,-50.0,86.0,-72.0,11.0,12.0,-9.0,24.0,4.0,-8.0,48.0,-78.0,5.0,-4.0,1.0,48.0,-17.0,-16.0,85.0,-84.0,34.0,-26.0,2.0,90.0,-82.0,35.0,-50.0,11.0,-11.0,97.0,12.0,69.0,-72.0,-2.0,112.0,118.0,-68.0,27.0,-176.0,44.0,-27.0,-8.0,24.0,51.0,-88.0,-17.0,-46.0,54.0,-10.0,75.0,37.0,
190019,10.0,-19.0,43.0,32.0,8.0,-97.0,-33.0,-12.0,15.0,-18.0,49.0,-71.0,91.0,-5.0,-39.0,68.0,13.0,-31.0,-33.0,12.0,35.0,-22.0,-17.0,-59.0,56.0,8.0,-13.0,-20.0,8.0,1.0,-9.0,4.0,3.0,13.0,-36.0,17.0,-82.0,1.0,-24.0,68.0,-43.0,-10.0,30.0,-64.0,74.0,24.0,27.0,29.0,-20.0,-51.0,42.0,-46.0,24.0,-64.0,14.0,43.0,-42.0,36.0,-26.0,-46.0
190020,67.0,20.0,-28.0,-85.0,73.0,8.0,-90.0,-63.0,63.0,53.0,25.0,-37.0,37.0,22.0,-35.0,53.0,16.0,-65.0,59.0,-14.0,-37.0,89.0,19.0,-124.0,60.0,-34.0,39.0,-78.0,11.0,21.0,3.0,19.0,-38.0,4.0,5.0,132.0,-189.0,-70.0,-25.0,34.0,-12.0,4.0,7.0,-44.0,8.0,39.0,-19.0,-65.0,91.0,-32.0,41.0,-75.0,36.0,13.0,-71.0,-72.0,33.0,-21.0,30.0,-58.0
190021,24.0,6.0,-28.0,-52.0,112.0,-5.0,-54.0,-3.0,83.0,-66.0,132.0,-29.0,-39.0,75.0,-114.0,70.0,29.0,-40.0,15.0,-25.0,45.0,-76.0,25.0,5.0,1.0,17.0,23.0,-123.0,143.0,-30.0,4.0,-4.0,-23.0,-40.0,26.0,62.0,-40.0,-138.0,-4.0,-122.0,-2.0,18.0,18.0,-185.0,185.0,-80.0,21.0,-64.0,35.0,42.0,-29.0,43.0,17.0,18.0,29.0,-33.0,-126.0,89.0,-10.0,54.0
190022,126.0,-12.0,130.0,3.0,-39.0,-13.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190023,38.0,-19.0,105.0,49.0,-74.0,-173.0,107.0,43.0,199.0,51.0,-64.0,23.0,-84.0,16.0,44.0,-36.0,36.0,-3.0,8.0,-39.0,114.0,-130.0,-75.0,-93.0,-3.0,-83.0,64.0,-85.0,296.0,36.0,-5.0,-112.0,0.0,41.0,-242.0,55.0,63.0,-11.0,-96.0,-26.0,87.0,100.0,-22.0,-96.0,-2.0,-2.0,31.0,-65.0,76.0,7.0,26.0,27.0,77.0,-47.0,-48.0,-11.0,20.0,6.0,-22.0,46.0
190025,42.0,55.0,10.0,-65.0,42.0,54.0,-72.0,-92.0,-46.0,-119.0,-5.0,-226.0,-111.0,96.0,-58.0,173.0,26.0,54.0,25.0,34.0,-89.0,97.0,34.0,36.0,41.0,0.0,54.0,43.0,-52.0,-73.0,25.0,72.0,-55.0,29.0,-53.0,-88.0,-3.0,-8.0,-60.0,-8.0,141.0,-143.0,21.0,4.0,24.0,29.0,-59.0,-142.0,-35.0,135.0,35.0,-31.0,89.0,98.0,-49.0,-199.0,36.0,55.0,31.0,22.0
190026,25.0,63.0,-1.0,70.0,-6.0,13.0,51.0,-58.0,53.0,13.0,5.0,-20.0,-12.0,8.0,-8.0,25.0,-22.0,20.0,42.0,7.0,6.0,-54.0,30.0,10.0,-13.0,-22.0,22.0,-10.0,-1.0,-572.0,88.0,72.0,4.0,42.0,-17.0,40.0,-3.0,129.0,49.0,-45.0,127.0,-42.0,-74.0,-10.0,-84.0,-5.0,-19.0,-1.0,38.0,4.0,3.0,-1.0,29.0,9.0,37.0,-7.0,-7.0,-37.0,34.0,-2.0
190029,-15.0,52.0,-8.0,-21.0,27.0,-28.0,6.0,-18.0,88.0,-73.0,8.0,15.0,-23.0,-14.0,-15.0,33.0,-2.0,-56.0,6.0,58.0,-63.0,-2.0,4.0,-37.0,25.0,-20.0,63.0,48.0,13.0,13.0,6.0,6.0,18.0,16.0,0.0,19.0,-24.0,-47.0,-114.0,-71.0,-39.0,0.0,-7.0,-122.0,54.0,23.0,53.0,-41.0,7.0,-6.0,-1.0,27.0,-5.0,7.0,9.0,11.0,23.0,-25.0,-17.0,-117.0
190034,1.0,43.0,3.0,-114.0,96.0,-26.0,93.0,-15.0,-4.0,16.0,7.0,58.0,-213.0,-319.0,42.0,103.0,6.0,18.0,24.0,-16.0,18.0,97.0,-12.0,1.0,21.0,12.0,1.0,-46.0,69.0,-5.0,93.0,14.0,-3.0,-29.0,-26.0,6.0,-34.0,62.0,-62.0,124.0,-25.0,-52.0,-29.0,-18.0,21.0,38.0,64.0,-15.0,-59.0,4.0,80.0,45.0,-119.0,58.0,-4.0,113.0,-62.0,24.0,-37.0,-8.0
190035,-126.0,-95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190036,-9.0,39.0,25.0,-34.0,189.0,-167.0,56.0,32.0,38.0,-329.0,58.0,37.0,129.0,54.0,55.0,-17.0,-11.0,18.0,59.0,-56.0,21.0,2.0,43.0,-5.0,56.0,-49.0,-26.0,-19.0,1.0,-9.0,82.0,-49.0,7.0,1.0,38.0,7.0,-29.0,-100.0,29.0,38.0,18.0,-19.0,-61.0,-47.0,-53.0,-11.0,7.0,-188.0,144.0,102.0,12.0,-74.0,80.0,27.0,-9.0,-42.0,85.0,-39.0,7.0,31.0
190037,23.0,65.0,-13.0,1.0,50.0,28.0,20.0,-55.0,81.0,-27.0,21.0,-8.0,2.0,-3.0,-18.0,60.0,-33.0,-8.0,42.0,11.0,-64.0,19.0,39.0,30.0,-40.0,20.0,-3.0,35.0,-43.0,-7.0,3.0,58.0,-39.0,-7.0,-10.0,87.0,-12.0,-32.0,-48.0,-90.0,34.0,-8.0,5.0,8.0,37.0,-55.0,-25.0,8.0,38.0,22.0,-10.0,,,,,,,,,
190038,40.0,126.0,-47.0,-43.0,62.0,4.0,-26.0,-45.0,69.0,-30.0,17.0,45.0,-13.0,-21.0,-12.0,51.0,-18.0,-19.0,15.0,65.0,-78.0,-63.0,38.0,74.0,-40.0,42.0,0.0,4.0,-4.0,-20.0,-3.0,25.0,-26.0,45.0,-66.0,50.0,-93.0,-46.0,-14.0,39.0,-7.0,-35.0,10.0,40.0,-45.0,-2.0,-32.0,56.0,-46.0,-15.0,-13.0,46.0,9.0,-82.0,-38.0,-42.0,9.0,20.0,37.0,
190040,38.0,-13.0,34.0,-100.0,115.0,16.0,22.0,35.0,12.0,56.0,22.0,-40.0,7.0,83.0,-39.0,-43.0,-26.0,60.0,-34.0,3.0,-59.0,5.0,35.0,114.0,-43.0,-44.0,-25.0,40.0,2.0,-24.0,-38.0,61.0,-42.0,-3.0,66.0,-42.0,-8.0,-13.0,-8.0,12.0,26.0,-18.0,-109.0,9.0,-44.0,0.0,52.0,-13.0,26.0,14.0,42.0,19.0,15.0,54.0,2.0,-22.0,-6.0,25.0,-69.0,-136.0
190041,11.0,90.0,-72.0,22.0,27.0,-15.0,1.0,-13.0,24.0,30.0,-12.0,16.0,-8.0,57.0,-33.0,-76.0,15.0,-27.0,42.0,18.0,-27.0,-1.0,39.0,28.0,-38.0,34.0,-16.0,10.0,2.0,11.0,-7.0,21.0,-35.0,48.0,53.0,-89.0,-11.0,-27.0,-45.0,19.0,-73.0,5.0,-95.0,-67.0,-17.0,60.0,0.0,31.0,-27.0,25.0,-106.0,,,,,,,,,
190042,251.0,30.0,33.0,-7.0,139.0,-35.0,-13.0,-16.0,61.0,42.0,-49.0,0.0,64.0,46.0,-64.0,58.0,-38.0,113.0,-110.0,35.0,-53.0,8.0,65.0,-80.0,81.0,-35.0,2.0,-42.0,71.0,-58.0,76.0,-33.0,66.0,-49.0,-30.0,-119.0,34.0,-31.0,66.0,-29.0,-48.0,51.0,-162.0,143.0,-39.0,-36.0,-53.0,-10.0,32.0,21.0,-35.0,-1.0,-27.0,34.0,-7.0,29.0,-19.0,-3.0,18.0,-290.0
190043,7.0,53.0,12.0,-114.0,114.0,-146.0,19.0,-239.0,248.0,-23.0,100.0,4.0,-11.0,1.0,29.0,30.0,19.0,-3.0,0.0,67.0,-60.0,-3.0,54.0,-28.0,-53.0,35.0,-34.0,5.0,-26.0,27.0,-35.0,15.0,22.0,-30.0,22.0,-187.0,58.0,-196.0,-19.0,-28.0,190.0,111.0,-134.0,136.0,-16.0,18.0,23.0,-53.0,93.0,-44.0,44.0,100.0,23.0,-32.0,-29.0,19.0,-27.0,-13.0,30.0,-38.0
190044,-11.0,49.0,-16.0,-100.0,108.0,30.0,-30.0,82.0,-58.0,6.0,-14.0,-242.0,199.0,53.0,-42.0,32.0,-9.0,18.0,3.0,34.0,-69.0,-4.0,45.0,46.0,-32.0,-34.0,-14.0,-6.0,-10.0,21.0,6.0,-27.0,-14.0,-66.0,72.0,-12.0,76.0,174.0,-25.0,49.0,45.0,-30.0,8.0,70.0,-49.0,-26.0,-69.0,-56.0,-17.0,-56.0,24.0,63.0,-35.0,7.0,39.0,27.0,28.0,11.0,20.0,-49.0
190046,25.0,15.0,4.0,-1.0,30.0,-18.0,-17.0,31.0,-44.0,11.0,1.0,-265.0,191.0,8.0,-2.0,26.0,-13.0,0.0,10.0,50.0,11.0,26.0,-45.0,-19.0,-4.0,-13.0,34.0,-15.0,-13.0,6.0,21.0,-26.0,36.0,40.0,-43.0,8.0,-6.0,255.0,-7.0,-9.0,-3.0,8.0,-4.0,32.0,-33.0,-33.0,-23.0,-43.0,3.0,36.0,-19.0,65.0,-18.0,26.0,-89.0,45.0,-15.0,-35.0,52.0,23.0
190047,36.0,101.0,24.0,-53.0,54.0,37.0,1.0,10.0,27.0,-17.0,5.0,-61.0,45.0,35.0,-47.0,57.0,-64.0,15.0,26.0,23.0,-14.0,-54.0,-14.0,-37.0,32.0,-33.0,-12.0,44.0,-32.0,7.0,37.0,60.0,-59.0,-7.0,-54.0,-126.0,-60.0,-77.0,72.0,-174.0,113.0,48.0,49.0,119.0,-12.0,17.0,-55.0,18.0,2.0,-14.0,37.0,-12.0,19.0,20.0,10.0,-21.0,33.0,-26.0,-6.0,12.0
