,Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video,Growth,Name,Site
41,70002,0,Channel1,91,3640.087912087912,671855.4208428933,331248,104.07692307692308,6.9010989010989015,-80.86396089931633,12.668585423863668,9.235660211849783,False,,7,7&8
42,70002,1,Channel1,106,3407.811320754717,472809.2096831613,361228,106.3867924528302,7.443396226415095,-72.68918244595982,15.732976898091758,8.857894606728696,False,15.0,7,7&8
43,70002,2,Channel1,54,3231.277777777778,459400.1635802469,174489,104.57407407407408,11.592592592592592,44.59502418696727,9.962308701164355,7.278463106244775,False,-52.0,7,7&8
44,70002,3,Channel1,76,3150.2894736842104,283533.60041551245,239422,54.6578947368421,43.55263157894737,35.675830030631225,12.068254897705224,8.329151672509214,False,22.0,7,7&8
45,70002,4,Channel1,85,3121.705882352941,285409.73702422145,265345,55.94117647058823,41.588235294117645,21.25102471306524,11.916958209261036,9.25533235852377,False,9.0,7,7&8
46,70002,5,Channel1,73,2883.945205479452,163635.66823043724,210528,55.6986301369863,42.465753424657535,32.72925627490355,11.869052417693322,8.213801701371764,False,-12.0,7,7&8
47,70002,6,Channel1,88,2948.875,227638.2002840909,259501,56.35227272727273,41.06818181818182,23.10725237026574,12.459112507887076,9.27347107490204,False,15.0,7,7&8
48,70002,7,Channel1,73,2763.575342465753,166642.4087070745,201741,55.36986301369863,43.32876712328767,56.30838789134548,10.710263907825343,9.415464811592742,False,-15.0,7,7&8
49,70002,8,Channel1,84,2798.464285714286,210066.39158163263,235071,55.60714285714285,41.51190476190476,40.94722658152281,11.108667186456728,9.72759988454521,False,11.0,7,7&8
50,70002,9,Channel1,82,2714.121951219512,154423.18024985128,222558,56.21951219512195,41.96341463414634,24.07988087891458,11.19334369337441,9.455848020131311,False,-2.0,7,7&8
51,70002,10,Channel1,93,2744.0967741935483,233194.84009712105,255201,56.68817204301075,41.30107526881721,26.707118956106747,12.098625231460126,9.920209236006189,False,11.0,7,7&8
52,70002,11,Channel1,88,2622.715909090909,169420.20338326448,230799,57.17045454545455,40.51136363636363,27.23335053966239,11.399854193621788,9.908012727772078,False,-5.0,7,7&8
53,70002,12,Channel1,86,2499.6279069767443,180786.90805841,214968,57.45348837209303,39.34883720930232,37.85345814666257,11.621011258563003,9.539089652125062,False,-2.0,7,7&8
54,70002,13,Channel1,90,2523.555555555556,176897.4913580247,227120,57.11111111111112,41.67777777777778,26.06264725740556,11.624348202182622,9.951875313612232,False,4.0,7,7&8
55,70002,14,Channel1,90,2468.8,154281.96,222192,56.98888888888889,39.56666666666667,31.780398164337917,11.95906843030151,9.6644273853321,False,0.0,7,7&8
56,70002,15,Channel1,85,2426.0941176470587,166853.4734948097,206218,55.694117647058825,41.36470588235294,39.21548500209487,11.028849244697524,9.925001803945586,False,-5.0,7,7&8
57,70002,16,Channel1,87,2198.137931034483,108070.0729290527,191238,56.172413793103445,40.310344827586206,31.768364358609677,11.855061404258532,9.426520213494571,False,2.0,7,7&8
58,70002,17,Channel1,85,2303.4,81745.27529411766,195789,55.70588235294117,40.47058823529412,40.233383604985,11.274611084473378,9.714594225818256,False,-2.0,7,7&8
59,70002,18,Channel1,80,2203.0875,71799.55484375,176247,55.725,40.725,45.0000000000001,11.059333648981465,9.310399792908866,False,-5.0,7,7&8
60,70002,19,Channel1,88,724.1363636363636,10340.231404958677,63724,56.29545454545455,37.69318181818182,29.036978223962432,11.662694290574866,9.717232789547872,False,8.0,7,7&8
61,70002,20,Channel1,90,2240.9,127951.6011111111,201681,54.98888888888889,39.56666666666667,31.780398164337917,11.95906843030151,9.6644273853321,False,2.0,7,7&8
62,70002,21,Channel1,89,2267.7640449438204,125606.7645499306,201831,55.15730337078652,39.61797752808989,35.47457263589497,11.966145767842244,9.56576703011294,False,-1.0,7,7&8
63,70002,22,Channel1,85,2092.4823529411765,72923.09674740485,177861,55.25882352941176,37.65882352941176,33.33578071550966,11.3907255884505,9.62369555975678,False,-4.0,7,7&8
64,70002,23,Channel1,86,2189.686046511628,121281.40143320715,188313,54.53488372093023,38.872093023255815,37.42456474761716,11.324439699467783,9.83341513316795,False,1.0,7,7&8
65,70002,24,Channel1,91,2224.3296703296705,132796.3968119792,202414,54.96703296703296,39.65934065934066,35.168508019889146,12.05916197634138,9.719022394826863,False,5.0,7,7&8
82,70003,0,Channel1,17,4937.117647058823,1870166.8096885807,83931,115.76470588235294,12.647058823529411,32.84772536703162,6.669145908925402,3.5303922326069967,False,,7,7&8
83,70003,1,Channel1,16,3360.8125,562664.90234375,53773,346.625,47.125,18.434948822921925,4.844240566555986,4.560701700396551,False,-1.0,7,7&8
84,70003,2,Channel1,22,2964.1363636363635,341519.11776859505,65211,346.0,49.27272727272727,-65.40754193744078,5.991085158504228,4.879808021754345,False,6.0,7,7&8
85,70003,3,Channel1,34,2952.470588235294,300204.4256055364,100384,347.44117647058823,48.47058823529412,-63.43494882292206,7.049607769015927,6.318915947552092,False,12.0,7,7&8
86,70003,4,Channel1,41,2855.439024390244,307182.09994051163,117073,347.780487804878,47.29268292682927,-53.37541036846378,7.977795470270959,6.705196304606201,False,7.0,7,7&8
87,70003,5,Channel1,58,2948.655172413793,367517.3293697979,171022,348.1034482758621,48.08620689655172,-62.64213011737353,9.303598895350378,8.097461294465502,False,17.0,7,7&8
88,70003,6,Channel1,60,2856.0666666666666,207715.0955555556,171364,348.1666666666667,46.91666666666666,-51.16571229881929,9.409735141027896,8.240683344045852,False,2.0,7,7&8
89,70003,7,Channel1,65,2793.8307692307694,196324.72520710065,181599,347.5230769230769,49.18461538461538,-27.783615817399586,9.518034323110472,8.882962491426548,False,5.0,7,7&8
90,70003,8,Channel1,60,2655.483333333333,98692.54972222222,159329,347.53333333333336,47.28333333333333,-56.24948249989434,9.30007832471022,8.367482168700493,False,-5.0,7,7&8
91,70003,9,Channel1,66,2673.787878787879,140176.47015610652,176470,347.8636363636364,47.86363636363637,-44.99999999999996,9.569181300886235,8.868897488264405,False,6.0,7,7&8
92,70003,10,Channel1,66,2580.4242424242425,99085.27456382,170308,348.1363636363636,47.13636363636363,-44.99999999999996,9.569181300886235,8.868897488264405,False,0.0,7,7&8
93,70003,11,Channel1,77,2619.7012987012986,147039.19649181986,201717,348.6753246753247,46.493506493506494,-53.221822842179854,10.469322875407522,9.48681015825986,False,11.0,7,7&8
94,70003,12,Channel1,78,2519.3205128205127,128509.19214332673,196507,349.1794871794872,45.333333333333336,-49.800167577117925,10.679853263788631,9.451561228454205,False,1.0,7,7&8
95,70003,13,Channel1,81,2525.617283950617,104342.45846669714,204575,348.4691358024691,47.55555555555556,-41.52366753533296,10.78543477801962,9.638929637170266,False,3.0,7,7&8
96,70003,14,Channel1,80,2441.8875,86657.62484375,195351,348.525,45.525,-44.99999999999996,10.621211163623409,9.682556415233384,False,-1.0,7,7&8
97,70003,15,Channel1,84,2461.0,85668.47619047618,206724,347.4047619047619,47.285714285714285,-51.24345220807486,10.902924795081857,9.92233236515181,False,4.0,7,7&8
98,70003,16,Channel1,85,2248.494117647059,67216.34408304497,191122,347.4235294117647,46.34117647058824,-57.778905314083055,10.911023193702814,10.017547281582855,False,1.0,7,7&8
99,70003,17,Channel1,88,2393.3977272727275,77324.58044938016,210619,346.92045454545456,46.63636363636363,-23.955853796603886,11.192144994842591,10.10913525467352,False,3.0,7,7&8
100,70003,18,Channel1,93,2352.483870967742,94454.27124523067,218781,346.9569892473118,47.0,-45.12321597033854,11.0957427283288,10.777704793193053,False,5.0,7,7&8
101,70003,19,Channel1,90,767.4333333333333,6134.578888888888,69069,347.4888888888889,43.72222222222222,-43.275423430155946,11.098065350601413,10.48425424966688,False,-3.0,7,7&8
102,70003,20,Channel1,97,2298.0,88462.59793814433,222906,346.1443298969072,45.76288659793814,-16.357447452313544,11.714182551187363,10.647326238236383,False,7.0,7,7&8
103,70003,21,Channel1,100,2309.73,75923.4771,230973,346.3,45.87,-24.68794090821464,11.972534601621296,10.752562816936836,False,3.0,7,7&8
104,70003,22,Channel1,105,2195.4857142857145,82389.46884353741,230526,346.4761904761905,43.95238095238095,-16.16126176076105,12.039824061800182,11.18191891195654,False,5.0,7,7&8
105,70003,23,Channel1,110,2328.6181818181817,97982.5087603306,256148,345.45454545454544,45.25454545454546,-23.184290403476467,12.171791927639427,11.613699096675294,False,5.0,7,7&8
106,70003,24,Channel1,112,2344.8125,111232.31305803572,262619,345.60714285714283,46.223214285714285,-8.545480450769366,12.608868444462631,11.460455831939916,False,2.0,7,7&8
