field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col,z_scores,p_scores
125,1.0759283651504803,1.0436117695937588,1.0309661087564213,SDD 4.00,2,F,8,-0.5218407016982334,0.6017812480952057
3,1.1570823447053336,1.121819606448946,1.0314335193053092,Fhl1,1,A,3,-0.5020802114995635,0.6156110993034485
174,1.0772653606709701,1.0442585931118098,1.0316078486467635,PUL4,2,H,7,-0.49471017406386086,0.6208047187770809
33,1.1078666253533844,1.0736029385797676,1.0319146730530964,Dig1,2,B,4,-0.48173870671363045,0.6299915758321972
109,1.103560365834373,1.0691341920856212,1.0322000493517045,Hac1,2,E,1,-0.4696739906626236,0.6385879529893657
118,1.1076482667777299,1.050603437811587,1.0542972037907734,Spt23,2,E,10,0.46451674326613035,0.6422775665515532
140,1.1022453691386829,1.067076049570929,1.0329585877050613,Sko1,1,F,5,-0.4376056307754049,0.6616721887120818
116,1.1039482338776843,1.0478491674493646,1.0535373488580173,Hms1,2,E,8,0.4323927229870416,0.665456006150035
102,1.1068749565680271,1.0714045212641552,1.0331064827522103,Gln3,1,E,6,-0.43135314324261026,0.6662116145965516
66,1.1038260841304837,1.0683961648928035,1.0331617806221112,Yap5,2,C,6,-0.4290153418840757,0.667912059828314
80,1.1075035802107847,1.0718993446798046,1.0332160250938633,Gcn4,2,D,5,-0.42672207453069444,0.6695817703066733
97,1.1928783969391203,1.1326500069059362,1.0531747580152409,Gis1,1,E,1,0.41706364491668646,0.6766318556976243
146,1.1396782244529844,1.0821491032577926,1.053161917356861,Dot6,1,G,2,0.41652078659937947,0.6770289600592481
132,1.1178921092826355,1.0615188868151102,1.0531061888466842,Ras2,2,F,1,0.4141647792697324,0.6787534339604299
179,1.0719122804424217,1.0370366437044545,1.0336300910384286,MSA1,2,H,2,-0.40921680842437497,0.6823805603537403
115,1.0974506442637515,1.0617424119038485,1.0336317283359466,Rtg1,2,E,7,-0.40914758918738103,0.6824313540585842
