field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col
65,1.0937333101630682,1.0717967101329273,1.0204671276024164,Hap2,2,C,5
69,1.0861792401295092,1.064335478300453,1.0205233803386284,Hap5,2,C,9
81,1.0853118754079358,1.0634524075223915,1.0205551914979176,Fzf1,2,D,4
93,1.0776100351197688,1.0558848965402527,1.0205752905934173,Znf1,1,D,4
4,1.070703118726291,1.0490389173312735,1.020651475400103,Msn5,1,A,4
107,1.0919798292833092,1.0698782419046944,1.020658039871217,Pho2,1,E,11
27,1.0838600328376982,1.06161837076224,1.020950713258182,Pho4,2,B,10
95,1.105383681813123,1.0826656144142883,1.0209834570308443,Hot1,1,D,2
5,1.0852145525542236,1.0627997616522256,1.0210903236063509,Tbs1,1,A,5
79,1.111550465579112,1.0885696755991898,1.0211109959197353,Hmo1,2,D,6
153,1.1000292107812726,1.0771772905749493,1.021214632360218,Rim101,1,G,9
11,1.0937444241282974,1.0709176007709607,1.0213152004793866,Pdr3,1,A,11
44,1.0779085956688481,1.0553732451760336,1.021352967394067,Cat8,1,B,5
12,1.073966487116887,1.0514826450002612,1.0213829892709454,Ifh1,1,A,12
154,1.0945571940981447,1.0716324538541584,1.0213923534711336,Com2,1,G,10
184,1.0845056835022178,1.0617227314323223,1.0214584763002672,Mth1,1,H,9
115,1.0927692628524026,1.0693844125886869,1.0218675810012112,Rtg1,2,E,7
64,1.084857155880448,1.0615878919891484,1.0219193003866114,Pog1,2,C,4
114,1.1046817925709156,1.0805779794605905,1.0223064078377364,Nrg1,2,E,6
55,1.0934595797701896,1.0695693713234478,1.0223362870022923,Fkh2,1,C,7
109,1.0937897764331064,1.0698764068219981,1.022351525333792,Hac1,2,E,1
166,1.088361999180037,1.0644967043360287,1.0224193224335947,GAL4,2,G,10
70,1.0884367918074205,1.0644925930068723,1.0224935325598772,Ino2,2,C,10
168,1.0884791522175317,1.0644770284492562,1.0225482778179273,SIP4,2,G,12
58,1.1005926963889063,1.0763177697284039,1.022553680096379,Stb5,1,C,10
165,1.088472747172846,1.064419379339654,1.022597641775476,OAF1,2,G,9
102,1.0809621378223289,1.057009939846594,1.022660333713807,Gln3,1,E,6
125,1.086968059687776,1.0626449488918315,1.0228892169687624,SDD 4.00,2,F,8
26,1.0894768441555636,1.0650425115972206,1.0229421194856338,Spt3,2,B,11
77,1.1040119405951534,1.0792110752358992,1.022980551189982,Met31,2,D,8
103,1.0857985382722584,1.0612965058276922,1.0230868869444334,Pdr8,1,E,7
61,1.0864563370961384,1.0617377820875107,1.0232812238818778,Yhp1,2,C,1
155,1.0948632357541062,1.0694760506272847,1.0237379650642302,Gal3,1,G,11
96,1.0954755609010054,1.0700222718500303,1.0237876254734093,Arg81,1,D,1
147,1.0978572846155383,1.0723150215806505,1.0238197381560852,Mot2,1,G,3
157,1.1005524320477027,1.07494653667358,1.0238206222361161,RCS1,2,G,1
182,1.0855457120987948,1.06012734474293,1.0239767113657732,Hfi1,1,H,11
97,1.1544102717605487,1.1272694491993591,1.0240766061569984,Gis1,1,E,1
158,1.0847193757547133,1.0591688032624391,1.0241232298511564,TOS9,2,G,2
128,1.090224858271095,1.0643639966358829,1.0242970090278796,Rfx1,2,F,5
66,1.090294659872816,1.0640724400296822,1.0246432656806734,Yap5,2,C,6
144,1.09254963949759,1.0662613863523192,1.0246546048480691,Xbp1,1,F,1
112,1.1021689688753686,1.0755980774753064,1.0247033645341117,Lsm1,2,E,4
51,1.0826173460245532,1.0564744552805165,1.0247454073436117,Rap1,1,C,3
148,1.096374431769232,1.0697139825747994,1.0249229697178128,Spt10,1,G,4
48,1.0878780894237292,1.0614028797438135,1.024943600761952,Spt7,1,B,1
22,1.0772382828428553,1.0509884575187196,1.0249763212301197,Msn1,2,A,10
172,1.0762449868546111,1.049899123936473,1.025093708831147,ACA1,2,H,9
24,1.0832865381519472,1.0567527051134884,1.0251088385296436,Yox1,2,A,12
134,1.0954845285806785,1.0686387319282018,1.025121489471037,Spt8,1,F,11
145,1.1004418870639119,1.0731701092264072,1.0254123531796497,Crz1,1,G,1
167,1.0909087792830816,1.0638382460183948,1.0254460989403258,RDS1,2,G,11
163,1.094720415918284,1.067489740425755,1.025509074664894,IMP2,2,G,7
33,1.083998128063329,1.0568671110613144,1.02567117163365,Dig1,2,B,4
76,1.0998930767287058,1.0723122968153105,1.0257208464318728,Met28,2,D,9
42,1.1023003087430163,1.07461113582597,1.0257666908465115,Aro80,1,B,7
136,1.1156657276383406,1.0872630127327645,1.0261231317288977,Rlm1,1,F,9
177,1.0899354817743945,1.0620783364124178,1.0262288989492763,RDR1,2,H,4
74,1.0994144507234502,1.0712403506988244,1.0263004469596821,Met32,2,D,11
13,1.084003027119587,1.0561561841439175,1.0263662168472187,Gat1,2,A,1
23,1.102826225731223,1.0744478982846943,1.0264120088948316,Mac1,2,A,11
122,1.0857718055823187,1.0578315535882736,1.026412760991359,URC2,2,F,11
129,1.0958633015206483,1.0674084085322153,1.026657924709026,Mss11,2,F,4
7,1.1141143827827147,1.0849065255052197,1.0269220035006181,Gcr1,1,A,7
120,1.1430191972865982,1.1130012146415957,1.0269703053780304,Hpc2,2,E,12
40,1.0909855386170433,1.0621298910092438,1.0271677201179044,Snf2,1,B,9
156,1.0989590475272095,1.0698707312403277,1.0271886270345567,Rpn4,1,G,12
1,1.0770711796101087,1.048067563096357,1.0276734225301898,Put3,1,A,1
46,1.1008947179326278,1.071167219042717,1.0277524352514051,Adr1,1,B,3
143,1.0998626376745035,1.0701575165563457,1.0277577091770058,Met4,1,F,2
161,1.0964588643837672,1.066432187901312,1.02815619860607,TOD6,2,G,5
71,1.093243324333023,1.0631642211733645,1.028292057389273,Sut1,2,C,11
75,1.0981498193119714,1.0678099414512068,1.0284131816749442,Srd1,2,D,10
181,1.0981411481629708,1.0676765653108886,1.0285335314475237,Gzf3,1,H,12
60,1.111140808707022,1.0802914260435847,1.0285565375413732,Ecm22,1,C,12
123,1.0946419141463457,1.0638179717487493,1.0289748276642918,YKL222C,2,F,10
126,1.0980345070687343,1.0670618354179429,1.0290261263431468,TDA9,2,F,7
45,1.0993109051634058,1.0682938377771276,1.0290342097739864,Sum1,1,B,4
124,1.1359003280690365,1.1038374443023784,1.0290467440945725,ZMS1,2,F,9
152,1.1089443657531344,1.0774316989267725,1.0292479484850423,Cha4,1,G,8
85,1.1075022985251683,1.076008179065847,1.0292694052629447,Hsf1,1,D,12
170,1.0747525929014352,1.0440924458059502,1.0293653566967607,DAL82,2,H,11
173,1.081277300777813,1.050322858829784,1.0294713589138837,GSM1,2,H,8
160,1.106330610125968,1.0745589378006546,1.0295671751521995,ERT1,2,G,4
180,1.0917894457587822,1.0603774878910492,1.0296233730218163,TOG1,2,H,1
188,1.0950834288929527,1.0634655337907712,1.0297310012384493,Stp2,1,H,5
50,1.1513682237101437,1.1176661767287865,1.0301539472904129,Ume6,1,C,2
133,1.098755691300532,1.0659902067786555,1.0307371346505063,Ixr1,1,F,12
101,1.1151081396139764,1.0818093208250599,1.0307806728486315,Rph1,1,E,5
169,1.0796393266700248,1.047221288934928,1.0309562439931559,HAP1,2,H,12
73,1.106315298996031,1.0730535849293834,1.030997253570367,Rgm1,2,D,12
174,1.0865527266989248,1.0534377923892808,1.0314351113553053,PUL4,2,H,7
87,1.1093070831081602,1.075421485629758,1.031509131936823,Tea1,1,D,10
28,1.104870775446871,1.0710262284878809,1.0316001103042762,Ure2,2,B,9
185,1.11550146955648,1.0812439951627082,1.0316833892692432,Mig1,1,H,8
175,1.078628686851132,1.0452775497279192,1.0319064894600423,HAP4,2,H,6
17,1.1152714785569933,1.080774686489812,1.0319185788660739,Mal13,2,A,5
35,1.0954530714951165,1.061225803466118,1.0322525780255316,Bcy1,2,B,2
118,1.1072462870059492,1.0725868618855208,1.0323138631956577,Spt23,2,E,10
176,1.082618003190761,1.0481293247590817,1.032904983781087,GCR2,2,H,5
21,1.115334502280162,1.0797072576318305,1.0329971336179349,Cad1,2,A,9
18,1.1279450155270836,1.0917971010692529,1.0331086375137186,Opi1,2,A,6
187,1.096642454339534,1.0613192707644945,1.033282335059831,Tos4,1,H,6
59,1.1641223594378607,1.1265929533340298,1.0333123032527114,Azf1,1,C,11
190,1.1036267488355058,1.0679505247213128,1.0334062517769753,Stp4,1,H,3
83,1.0880738102370553,1.0520335202018831,1.0342577392669543,Cin5,2,D,2
146,1.1355706060025879,1.0978163359918,1.034390333585881,Dot6,1,G,2
113,1.102961866483448,1.0660959631395803,1.034580286032882,Nrg2,2,E,5
131,1.1469748062033749,1.108244267206493,1.034947655623348,Pho23,2,F,2
179,1.0774156496669185,1.0405662728240774,1.0354128110868255,MSA1,2,H,2
186,1.103752083452641,1.065731707485168,1.0356753727982728,Tec1,1,H,7
137,1.112577439719686,1.0735277050076655,1.0363751531794343,Std1,1,F,8
127,1.1641198712107224,1.121694434496001,1.0378226328044358,GIN1,2,F,6
3,1.1522555255384805,1.1098903858927223,1.038170561871912,Fhl1,1,A,3
25,1.098877757796021,1.0570575144208458,1.0395628835750608,Yap3,2,B,12
162,1.1171025411784308,1.074151356952848,1.0399861564644173,RDS2,2,G,6
88,1.1327208537402562,1.0876228461522692,1.041464748324782,Sok2,1,D,9
14,1.1724400990338126,1.1248010078793538,1.0423533503444091,Stb3,2,A,2
164,1.1129063948055078,1.0665212935716155,1.0434919598075307,MSA2,2,G,8
110,1.1307794108874925,1.0830806522685295,1.0440398953845746,Cup2,2,E,2
106,1.2077287978616773,1.1554181571169388,1.0452742069375704,Cst6,1,E,10
189,1.1140172467777554,1.06540544980099,1.0456275092133664,Rtg3,1,H,4
192,1.1672278755634256,1.115611542452917,1.0462672992760713,Ume1,1,H,1
62,1.1747757866393687,1.1219231049003306,1.0471090055175691,Rox1,2,C,2
139,1.107551821146622,1.0576145901089453,1.0472168514926903,Sfp1,1,F,6
151,1.1728111194642605,1.1194045113961875,1.0477098381544498,Ste12,1,G,7
8,1.1360746167939262,1.0840902554859484,1.0479520603057866,Swi4,1,A,8
191,1.1921527794560285,1.1360823270216567,1.0493542158880032,Lap3,1,H,2
29,1.1208228419510027,1.0668149059734398,1.0506254043462977,Phd1,2,B,8
36,1.2309943869296185,1.1685214109964528,1.0534632702022055,Wtm1,2,B,1
150,1.1260002307825425,1.0684830471241846,1.0538306937233726,Hcm1,1,G,6
183,1.2563795498232249,1.1887498722711896,1.0568914278180523,Mot3,1,H,10
57,1.1717282310044779,1.1083654224129902,1.057167796207087,Msn2,1,C,9
171,1.1434746079283724,1.0815638735730775,1.0572418660312362,DAL80,2,H,10
39,1.2429784453965143,1.153254974019974,1.0778002032488838,Gal11,1,B,10
43,1.6675168827370623,1.5400830078764125,1.0827448093439884,Cyc8,1,B,6
138,1.2162087690651915,1.1153253695466327,1.090451990309847,Tbf1,1,F,7
78,1.2219638212590334,1.1126810624425023,1.0982157084408708,Sub1,2,D,7
41,1.1937984733902434,1.0843353827613964,1.1009494777806526,Pdc2,1,B,8
54,1.2338388450589257,1.1013345045216851,1.1203125299291226,Reb1,1,C,6
30,1.519028150306046,1.3355591324673382,1.1373724407842307,Cbf1,2,B,7
