Site,Number of 5 min events,mean growth (pixels/5 mins),SEM mean growth (pixels/5 mins),mean max growth (/trajectory)
CTRL-new,16724,10.111011178208917,0.5229181163054483,109.58801141769743
GLN-new,5802,9.88699518340126,0.7811672487209874,101.88668555240793
PRO-new,12610,7.296886928492663,0.5643340183039322,107.1255230125523
CTRL-old,8547,0.35320220676421205,0.6534926004143152,119.29441624365482
GLN-old,10035,-0.1211997966446365,0.46597310775896994,96.035
PRO-old,20158,0.04426885478397407,0.343866403122034,110.57971014492753
