,ttest,ttest_p,TF,TF Plate,Row,Col
151.0,-15.837878700940264,1.324082910973668e-48,Ste12,1,G,7
39.0,-14.039566101728006,2.6311782644370074e-38,Gal11,1,B,10
189.0,-11.83385290367721,5.845889124112915e-30,Rtg3,1,H,4
43.0,-11.559327928758757,4.396969398781348e-27,Cyc8,1,B,6
41.0,-11.277871342812038,2.4002627198083633e-26,Pdc2,1,B,8
94.0,-10.708868569637719,9.20554313698122e-25,Tup1,1,D,3
57.0,-11.108179567989108,1.1231623921576822e-24,Msn2,1,C,9
104.0,-10.600945674372683,1.2943923857572918e-24,Lys14,1,E,8
87.0,-10.703915517123074,6.751237733545267e-24,Tea1,1,D,10
50.0,-10.472952113760737,7.999462404890735e-24,Ume6,1,C,2
8.0,-10.175104728227007,1.059521833513311e-21,Swi4,1,A,8
146.0,-9.66422958070382,1.4830898648235293e-20,Dot6,1,G,2
180.0,-9.41395990526893,5.2708017490705035e-20,TOG1,2,H,1
45.0,-9.448679643287644,2.5639121260342125e-19,Sum1,1,B,4
191.0,-9.238725496565747,4.853570760336294e-19,Lap3,1,H,2
150.0,-9.128337469223917,7.194677949620925e-19,Hcm1,1,G,6
30.0,-9.168043862635537,1.6467843753294225e-18,Cbf1,2,B,7
17.0,-9.031043510259487,5.413504063254392e-18,Mal13,2,A,5
162.0,-9.031960643494571,7.244666387471808e-18,RDS2,2,G,6
164.0,-8.83338714872289,4.2562155283954904e-17,MSA2,2,G,8
152.0,-8.585042730119977,5.472834349130359e-17,Cha4,1,G,8
106.0,-8.628336288143304,1.0609746571258132e-16,Cst6,1,E,10
174.0,-8.458697736244519,1.614982947825307e-16,PUL4,2,H,7
5.0,-8.486003502717328,2.0677001196227075e-16,Tbs1,1,A,5
181.0,-8.28906086604835,5.044867159051242e-16,Gzf3,1,H,12
2.0,-8.627248313879258,9.04216459092609e-16,Stb4,1,A,2
192.0,-8.279122035308166,9.560702066120873e-16,Ume1,1,H,1
58.0,-8.191562776400332,1.0228269116906424e-15,Stb5,1,C,10
89.0,-8.220373738097628,1.422878930798759e-15,Swi6,1,D,8
159.0,-8.179364595310934,2.2346609192521206e-15,MFG1,2,G,3
48.0,-8.242636386128813,2.326680081211618e-15,Spt7,1,B,1
141.0,-7.941630652754122,9.258243883457278e-15,Ndd1,1,F,4
105.0,-7.786022893938108,2.3949643730943882e-14,Stp1,1,E,9
136.0,-7.736618995480949,3.011992103698141e-14,Rlm1,1,F,9
46.0,-7.721516746742075,7.266120354334474e-14,Adr1,1,B,3
21.0,-7.998260745972724,8.111321356239515e-14,Cad1,2,A,9
18.0,-7.749582590107923,8.736743703627454e-14,Opi1,2,A,6
175.0,-7.636373545334143,9.218456283297672e-14,HAP4,2,H,6
153.0,-7.525949288242308,1.2619123072517043e-13,Rim101,1,G,9
86.0,-7.60283501051695,2.0662017911088333e-13,Haa1,1,D,11
3.0,-7.707961795282375,2.0673087462102702e-13,Fhl1,1,A,3
10.0,-7.466343700406442,2.514413751158777e-13,Pip2,1,A,10
177.0,-7.430687217897619,4.212904391673788e-13,RDR1,2,H,4
66.0,-7.44486367105399,4.2189868055554885e-13,Yap5,2,C,6
16.0,-7.460325658332182,6.007641800575471e-13,Hog1,2,A,4
65.0,-7.3451796154118165,1.0894960296665046e-12,Hap2,2,C,5
107.0,-7.193846521855606,1.7671261011038198e-12,Pho2,1,E,11
140.0,-7.155546779343814,1.8449944677803765e-12,Sko1,1,F,5
33.0,-7.217566153051064,1.9638192180879237e-12,Dig1,2,B,4
154.0,-7.14376769363942,2.2526023919518385e-12,Com2,1,G,10
108.0,-7.147514379446658,2.4064862359902246e-12,Yap1,1,E,12
47.0,-7.179488203623777,2.431563392321992e-12,Rgt1,1,B,2
184.0,-7.111602665555609,2.4947505027750746e-12,Mth1,1,H,9
142.0,-7.123095387069626,2.557969303904574e-12,Rtg2,1,F,3
179.0,-7.139985432759442,2.998363595659723e-12,MSA1,2,H,2
93.0,-7.1312809163701765,3.5897674878683277e-12,Znf1,1,D,4
187.0,-7.076821516908148,3.699590570091082e-12,Tos4,1,H,6
149.0,-7.040663852413729,4.36983235487006e-12,Snf1,1,G,5
110.0,-7.21722381003619,4.454607707109584e-12,Cup2,2,E,2
52.0,-7.128902943969523,4.8118133598706725e-12,Leu3,1,C,4
4.0,-7.295512990427305,6.73705933930003e-12,Msn5,1,A,4
59.0,-6.9799048676627145,7.594236383794392e-12,Azf1,1,C,11
25.0,-7.0735318442035044,1.1950379555691874e-11,Yap3,2,B,12
188.0,-6.891136416244788,1.3026556437794672e-11,Stp2,1,H,5
101.0,-7.093330457642532,1.319756100884797e-11,Rph1,1,E,5
11.0,-6.9627810645823605,1.56523054697445e-11,Pdr3,1,A,11
12.0,-6.8081400751571906,2.695685325946913e-11,Ifh1,1,A,12
60.0,-6.802666941900138,3.618892357381765e-11,Ecm22,1,C,12
183.0,-6.6952104049167325,5.878704074702594e-11,Mot3,1,H,10
32.0,-6.73100435778562,6.310874675298408e-11,Kar4,2,B,5
40.0,-6.6408052592696265,6.953148860120157e-11,Snf2,1,B,9
42.0,-6.571525320583002,1.1835883443321003e-10,Aro80,1,B,7
135.0,-6.554576023851786,1.2823029255770504e-10,Skn7,1,F,10
173.0,-6.552850672685831,1.390003505988238e-10,GSM1,2,H,8
102.0,-6.46053908180975,2.427024920886934e-10,Gln3,1,E,6
64.0,-6.458837440848528,2.9428859818334174e-10,Pog1,2,C,4
156.0,-6.2610002246938,6.56217381520073e-10,Rpn4,1,G,12
49.0,-6.314488826186319,8.196166810355665e-10,Sfl1,1,C,1
168.0,-6.27649910169326,8.821413908555664e-10,SIP4,2,G,12
147.0,-6.225364311609062,1.0041281780610877e-09,Mot2,1,G,3
158.0,-6.143180655485824,1.6799033124226048e-09,TOS9,2,G,2
38.0,-6.120553355466207,1.7816226931509277e-09,Pdr1,1,B,11
160.0,-6.178927625742079,2.0553931667318823e-09,ERT1,2,G,4
92.0,-6.047574882581487,3.1131912878649875e-09,Upc2,1,D,5
96.0,-6.1368521378494,3.6484317188785948e-09,Arg81,1,D,1
68.0,-6.022139417255081,3.879367300270629e-09,Yap7,2,C,8
100.0,-6.032222855287984,4.7063460004133806e-09,Bas1,1,E,4
88.0,-6.181111468584088,6.114537204545155e-09,Sok2,1,D,9
161.0,-5.941577968964404,6.901507278548631e-09,TOD6,2,G,5
123.0,-5.895154939846219,7.826029448556471e-09,YKL222C,2,F,10
56.0,-5.85178589648947,9.979282599969153e-09,Yrm1,1,C,8
69.0,-5.8705640708435896,1.0833978480163442e-08,Hap5,2,C,9
90.0,-5.799042420828166,1.3129002849578955e-08,Yrr1,1,D,7
