,ttest,ttest_p,TF,TF Plate,Row,Col
12.0,-6.874475138414379,1.4005114562142692e-11,Ifh1,1,A,12
133.0,-6.863045844581618,1.4011080668258324e-11,Ixr1,1,F,12
183.0,-6.842007793574695,1.9595878533563265e-11,Mot3,1,H,10
96.0,-6.928820494715356,2.2750370159680673e-11,Arg81,1,D,1
161.0,-6.8707193430165,2.2952123637210962e-11,TOD6,2,G,5
60.0,-6.810691346910058,2.696121547786431e-11,Ecm22,1,C,12
68.0,-6.755509100325241,3.7889408258747077e-11,Yap7,2,C,8
6.0,-6.6287193396614255,7.743853926554446e-11,War1,1,A,6
171.0,-6.483040371702752,1.6827100407119462e-10,DAL80,2,H,10
118.0,-6.7237940167335575,1.9297011475584332e-10,Spt23,2,E,10
147.0,-6.392873327843039,3.1514351559008144e-10,Mot2,1,G,3
95.0,-6.52205540776485,3.3480563623807953e-10,Hot1,1,D,2
7.0,-6.368494931727366,5.350134941078788e-10,Gcr1,1,A,7
11.0,-6.293774514963415,6.905339600405904e-10,Pdr3,1,A,11
38.0,-6.185854763487805,1.0613971627792107e-09,Pdr1,1,B,11
31.0,-6.223084657316551,1.0818871419425246e-09,Hms2,2,B,6
69.0,-6.222587126569761,1.24305970555692e-09,Hap5,2,C,9
132.0,-6.245223265714665,1.4130747498021107e-09,Ras2,2,F,1
49.0,-6.149570206798057,1.5680903944897223e-09,Sfl1,1,C,1
109.0,-6.399324757860916,2.4186351262585585e-09,Hac1,2,E,1
61.0,-6.189746504046125,2.755251980006891e-09,Yhp1,2,C,1
165.0,-6.086213453680772,2.91874078826882e-09,OAF1,2,G,9
126.0,-5.9847818211641926,6.191404733926692e-09,TDA9,2,F,7
91.0,-5.851413233083222,8.631936001545587e-09,Mbp1,1,D,6
56.0,-5.814682959513446,1.0891685243964825e-08,Yrm1,1,C,8
148.0,-5.831179611679341,1.2251648896964866e-08,Spt10,1,G,4
144.0,-5.755692935618423,1.261998019488702e-08,Xbp1,1,F,1
130.0,-5.8107629163501615,1.2887354151530618e-08,Dig2,2,F,3
186.0,-5.7730260685915855,1.2988550852160372e-08,Tec1,1,H,7
123.0,-5.782525378305826,1.3466690138794428e-08,YKL222C,2,F,10
51.0,-5.854805614342132,2.0228750511724928e-08,Rap1,1,C,3
27.0,-5.53928950661484,4.32396242216407e-08,Pho4,2,B,10
14.0,-5.475301664990094,7.166702028282881e-08,Stb3,2,A,2
185.0,-5.438754541816698,7.316416898815357e-08,Mig1,1,H,8
22.0,-5.437997036743273,8.579954242611452e-08,Msn1,2,A,10
85.0,-5.371832184829653,1.1400301448980602e-07,Hsf1,1,D,12
122.0,-5.456101749710437,1.2320858660405806e-07,URC2,2,F,11
131.0,-5.3641845889629876,1.2669491348815463e-07,Pho23,2,F,2
70.0,-5.337121381429368,1.8423261119780188e-07,Ino2,2,C,10
71.0,-5.4231506903955475,2.1405597348965207e-07,Sut1,2,C,11
129.0,-5.260569571847851,3.0960917614397676e-07,Mss11,2,F,4
155.0,-5.154297187403698,3.594810724271661e-07,Gal3,1,G,11
157.0,-5.0714348974695485,5.963385116894739e-07,RCS1,2,G,1
167.0,-5.095652631511056,8.248105427729405e-07,RDS1,2,G,11
169.0,-4.920759977675287,1.1442384630956136e-06,HAP1,2,H,12
125.0,-4.80566606087034,2.3575982908889607e-06,SDD 4.00,2,F,8
59.0,-4.707343040226217,2.9584181477999974e-06,Azf1,1,C,11
166.0,-4.701515037124436,3.469660352388502e-06,GAL4,2,G,10
117.0,-4.794543227451284,3.933676918003972e-06,Hap3,2,E,9
176.0,-4.673808205004986,3.97271903421703e-06,GCR2,2,H,5
13.0,-4.634329039901302,4.315072077836801e-06,Gat1,2,A,1
24.0,-4.798981473608661,4.751922549952435e-06,Yox1,2,A,12
116.0,-4.652294596860645,6.5002685526891194e-06,Hms1,2,E,8
98.0,-4.505018246302938,7.503377269731834e-06,Abf1,1,E,2
121.0,-4.5768071527850385,7.726835078472425e-06,OAF3,2,F,12
9.0,-4.48497928680451,8.970234670445913e-06,Dal81,1,A,9
19.0,-4.5102880731276995,1.0509260344137011e-05,Gal80,2,A,7
67.0,-4.41852044216596,1.2692374531897803e-05,Tye7,2,C,7
73.0,-4.492319983438025,1.2928599218471572e-05,Rgm1,2,D,12
55.0,-4.399818063287368,1.385501344568389e-05,Fkh2,1,C,7
145.0,-4.30130209686371,2.3158550980836677e-05,Crz1,1,G,1
97.0,-4.2312492305408265,2.75141476101202e-05,Gis1,1,E,1
120.0,-4.303007564329843,3.2263631485729945e-05,Hpc2,2,E,12
124.0,-4.184800280994352,4.891178957539298e-05,ZMS1,2,F,9
127.0,-4.126815241728303,5.533486374998088e-05,GIN1,2,F,6
134.0,-4.041744459514348,6.276439987622088e-05,Spt8,1,F,11
75.0,-4.031713290394351,7.644602508574695e-05,Srd1,2,D,10
138.0,-4.057145229299198,9.572520079732584e-05,Tbf1,1,F,7
15.0,-3.720775971632929,0.000228428802255712,Uga3,2,A,3
34.0,-3.6153310068656666,0.0003629924082610731,Mig2,2,B,3
72.0,-3.603904827955296,0.0003704781703765631,Cup9,2,C,12
114.0,-3.59809654155924,0.00037444410847461344,Nrg1,2,E,6
26.0,-3.6026819650100106,0.0004237227914539453,Spt3,2,B,11
139.0,-3.5669141753077573,0.0006566776093096861,Sfp1,1,F,6
53.0,-3.4873181898676004,0.0006881236762212384,Zap1,1,C,5
182.0,-3.1453830310245547,0.0017503699316880718,Hfi1,1,H,11
128.0,-3.107158516476111,0.0024591237289005555,Rfx1,2,F,5
82.0,-3.1964086328992694,0.0024887128523393364,Rme1,2,D,3
81.0,-3.159637116316923,0.0026097839140215404,Fzf1,2,D,4
99.0,-3.0074521812425408,0.0027242162022588635,Ace2,1,E,3
23.0,-3.045535091124236,0.0028961622131839925,Mac1,2,A,11
62.0,-2.71017329315934,0.007061787648890491,Rox1,2,C,2
170.0,-2.6729645948306775,0.008312848734429237,DAL82,2,H,11
77.0,-2.6200490686161304,0.010539289794733484,Met31,2,D,8
115.0,-2.5878548706736626,0.010773268124391307,Rtg1,2,E,7
76.0,-2.7249191598820244,0.01157000347925385,Met28,2,D,9
112.0,-2.626101353160827,0.012603355854205179,Lsm1,2,E,4
74.0,-2.6311242970954964,0.01330704554016663,Met32,2,D,11
44.0,-2.52247599851585,0.01353934882554137,Cat8,1,B,5
