,ttest,ttest_p,TF,TF Plate,Row,Col
149.0,-6.089695949621742,1.7581482635437502e-09,Snf1,1,G,5
12.0,-6.076408675892808,2.2180890164493395e-09,Ifh1,1,A,12
47.0,-6.081956037760277,2.2486493082743285e-09,Rgt1,1,B,2
90.0,-6.088385295532392,2.3179042864412758e-09,Yrr1,1,D,7
58.0,-5.9250010788653675,4.533827820584416e-09,Stb5,1,C,10
25.0,-6.01475846920563,4.9919745313209195e-09,Yap3,2,B,12
85.0,-5.9259361284467635,5.7273012163251404e-09,Hsf1,1,D,12
91.0,-5.938551445403452,6.0337821249871176e-09,Mbp1,1,D,6
37.0,-5.874347607344208,6.7549603895159636e-09,Hal9,1,B,12
147.0,-5.8622021761603165,7.880483044085812e-09,Mot2,1,G,3
118.0,-6.047764557052425,8.290065465098179e-09,Spt23,2,E,10
4.0,-5.976229005241132,8.672607554542802e-09,Msn5,1,A,4
160.0,-5.889347248200012,9.205764063079497e-09,ERT1,2,G,4
1.0,-5.8062147347592274,9.537310891181688e-09,Put3,1,A,1
109.0,-6.04855487790766,1.497922087945038e-08,Hac1,2,E,1
167.0,-5.914963590676047,1.6364424397573634e-08,RDS1,2,G,11
6.0,-5.754196010374759,1.670481955059781e-08,War1,1,A,6
122.0,-5.849580451392715,1.8804141900313893e-08,URC2,2,F,11
148.0,-5.761754290865493,1.9662102869354463e-08,Spt10,1,G,4
185.0,-5.58362301453338,3.411976056200852e-08,Mig1,1,H,8
103.0,-5.575488156442251,3.71773587729205e-08,Pdr8,1,E,7
161.0,-5.599355762647657,4.214966575696458e-08,TOD6,2,G,5
129.0,-5.582681430521569,6.701813985576886e-08,Mss11,2,F,4
123.0,-5.422705528899533,9.733553205847347e-08,YKL222C,2,F,10
31.0,-5.408038626918994,1.0833623669843624e-07,Hms2,2,B,6
7.0,-5.438236927529012,1.092757424857201e-07,Gcr1,1,A,7
9.0,-5.381955524015773,1.2530689829675402e-07,Dal81,1,A,9
155.0,-5.288486565195853,1.8330851069391667e-07,Gal3,1,G,11
165.0,-5.276874597327183,2.3346944095153272e-07,OAF1,2,G,9
56.0,-5.243985156804572,2.4365993116615087e-07,Yrm1,1,C,8
27.0,-5.207285228570153,2.600572481809661e-07,Pho4,2,B,10
144.0,-5.1892994297013235,3.0354932350365433e-07,Xbp1,1,F,1
157.0,-5.074837275794792,6.001824232711832e-07,RCS1,2,G,1
11.0,-5.052891747745937,6.464035442929696e-07,Pdr3,1,A,11
96.0,-5.07404124733148,7.802814868027235e-07,Arg81,1,D,1
20.0,-4.991928059477763,8.643924128884945e-07,Mig3,2,A,8
169.0,-4.950804379955694,9.981306668879022e-07,HAP1,2,H,12
71.0,-5.095988197999084,1.0797344942046995e-06,Sut1,2,C,11
95.0,-4.985016198630546,1.2473229160527376e-06,Hot1,1,D,2
61.0,-4.913079899424501,1.7911842383836071e-06,Yhp1,2,C,1
22.0,-4.766274855225659,2.5701512389127105e-06,Msn1,2,A,10
126.0,-4.756905054273695,3.188510242849911e-06,TDA9,2,F,7
121.0,-4.772577638186577,3.4141381743285216e-06,OAF3,2,F,12
59.0,-4.673229017073951,3.5803381054739635e-06,Azf1,1,C,11
