,ttest,ttest_p,TF,TF Plate,Row,Col
76.0,-2.0825535389870513,0.0491283902339518,Met28,2,D,9
29.0,-1.9788021283034627,0.06785585928741814,Phd1,2,B,8
36.0,-1.8103578919102514,0.07107625254082835,Wtm1,2,B,1
111.0,-1.7949478234642213,0.08476287213358594,Arg80,2,E,3
54.0,-1.3203019451522608,0.19781805770295488,Reb1,1,C,6
35.0,-1.2899344335037723,0.1994359143855355,Bcy1,2,B,2
143.0,-0.8511689621837978,0.4113390791615382,Met4,1,F,2
63.0,-0.8129417909989889,0.4173497534628353,Mal33,2,C,3
113.0,-0.4125893624689442,0.6922510417606387,Nrg2,2,E,5
80.0,0.26549310576956625,0.7914448205075014,Gcn4,2,D,5
78.0,,,Sub1,2,D,7
