,ttest,ttest_p,TF,TF Plate,Row,Col
151.0,-18.466653739682542,2.2171277697939644e-64,Ste12,1,G,7
180.0,-14.481749838636953,6.415840342466517e-43,TOG1,2,H,1
105.0,-14.239815575043442,4.0569574359077646e-41,Stp1,1,E,9
150.0,-13.390453138752678,2.6708637638190637e-37,Hcm1,1,G,6
39.0,-13.456534482236613,1.6521288830578136e-36,Gal11,1,B,10
146.0,-12.46974798359305,1.985876257655448e-32,Dot6,1,G,2
41.0,-12.48001366410098,5.585265969427681e-32,Pdc2,1,B,8
177.0,-12.292212261610285,2.6734968661114485e-31,RDR1,2,H,4
87.0,-12.373193578539482,1.1237748078766913e-30,Tea1,1,D,10
189.0,-11.787625217665303,4.346905473656196e-30,Rtg3,1,H,4
179.0,-11.684601471031677,1.2715883373556554e-28,MSA1,2,H,2
181.0,-11.435161630962225,3.2230331622766194e-28,Gzf3,1,H,12
136.0,-11.355499580302947,5.961039259913591e-28,Rlm1,1,F,9
57.0,-11.810515289612178,1.1352502285607246e-27,Msn2,1,C,9
18.0,-11.603684163345864,1.2155969898214351e-27,Opi1,2,A,6
191.0,-11.251778573833915,4.5179648896834935e-27,Lap3,1,H,2
106.0,-11.39743666388329,9.610905436475791e-27,Cst6,1,E,10
8.0,-11.309885379890789,2.4570652507365482e-26,Swi4,1,A,8
5.0,-10.659291945470784,1.3806266942048018e-24,Tbs1,1,A,5
135.0,-10.69065145162544,1.6185511199069796e-24,Skn7,1,F,10
33.0,-10.546513742156524,4.770715999274899e-24,Dig1,2,B,4
152.0,-10.438009649023279,5.5478437391090156e-24,Cha4,1,G,8
94.0,-10.25814368386199,2.85671112483714e-23,Tup1,1,D,3
174.0,-10.250061599720555,2.9960554093373535e-23,PUL4,2,H,7
153.0,-10.182693883539077,3.289955894733977e-23,Rim101,1,G,9
178.0,-10.228789586979444,1.349198899795323e-22,MSN4,2,H,3
104.0,-10.008244860728242,2.3843182969707513e-22,Lys14,1,E,8
183.0,-10.139278730652777,2.618723395960559e-22,Mot3,1,H,10
173.0,-10.102300363410905,2.8399635670115715e-22,GSM1,2,H,8
162.0,-10.172712941506054,4.246129707451358e-22,RDS2,2,G,6
172.0,-10.157987829108908,7.8227650111069e-22,ACA1,2,H,9
42.0,-9.906584615965064,1.1420391552162448e-21,Aro80,1,B,7
17.0,-9.95138326785089,2.334327571065989e-21,Mal13,2,A,5
175.0,-9.790354949899278,2.945535994057221e-21,HAP4,2,H,6
164.0,-9.856313970976922,9.779809496977009e-21,MSA2,2,G,8
187.0,-9.61899389353224,1.0480769146700044e-20,Tos4,1,H,6
132.0,-10.028474327447547,1.443609713566427e-20,Ras2,2,F,1
156.0,-9.539208599045203,1.894304582986822e-20,Rpn4,1,G,12
93.0,-9.515086061148553,4.47925810347341e-20,Znf1,1,D,4
43.0,-9.470538771901037,8.986154412165909e-20,Cyc8,1,B,6
184.0,-9.306748598296146,9.68556026451934e-20,Mth1,1,H,9
45.0,-9.443820811581233,1.230673492087006e-19,Sum1,1,B,4
66.0,-9.368116799907083,1.4688201745005732e-19,Yap5,2,C,6
159.0,-9.280989965651933,2.9078755238417775e-19,MFG1,2,G,3
107.0,-9.183509409342443,4.2986973655059993e-19,Pho2,1,E,11
110.0,-9.509810022129804,5.281568219414395e-19,Cup2,2,E,2
133.0,-9.12867730407093,6.817023170659008e-19,Ixr1,1,F,12
154.0,-8.997083015461987,1.7545265720329033e-18,Com2,1,G,10
32.0,-9.174442036919876,1.7957185482629946e-18,Kar4,2,B,5
86.0,-9.115407405798143,2.9694325269164045e-18,Haa1,1,D,11
88.0,-9.856486633946723,4.7475308866734255e-18,Sok2,1,D,9
108.0,-8.847286926156336,6.257736994564707e-18,Yap1,1,E,12
168.0,-8.99538677363672,6.88242705166662e-18,SIP4,2,G,12
30.0,-8.866456037724735,8.818664657650077e-18,Cbf1,2,B,7
171.0,-8.804929472924336,1.0846996530707383e-17,DAL80,2,H,10
20.0,-8.841187292252275,1.6758643705975948e-17,Mig3,2,A,8
163.0,-8.631984626863911,3.1556434375088626e-17,IMP2,2,G,7
101.0,-8.934775838978549,5.279571193178099e-17,Rph1,1,E,5
25.0,-8.762209376179786,8.796428576143265e-17,Yap3,2,B,12
2.0,-8.878917771195228,9.786445666004581e-17,Stb4,1,A,2
131.0,-8.56143795192224,1.7222508075541223e-16,Pho23,2,F,2
10.0,-8.332643080519135,3.2102917944350593e-16,Pip2,1,A,10
137.0,-8.823436349352205,3.273056848738149e-16,Std1,1,F,8
102.0,-8.37273489173573,3.829270571973782e-16,Gln3,1,E,6
158.0,-8.397824530471468,4.07238489254735e-16,TOS9,2,G,2
141.0,-8.321071420079729,4.373212231709419e-16,Ndd1,1,F,4
52.0,-8.201978667477592,1.9065002670247993e-15,Leu3,1,C,4
140.0,-8.075570104697068,1.9767624132606502e-15,Sko1,1,F,5
130.0,-8.28154201024764,2.0852246754548394e-15,Dig2,2,F,3
89.0,-8.129960011608734,2.135441404601252e-15,Swi6,1,D,8
12.0,-8.12208401456172,2.3458234693148507e-15,Ifh1,1,A,12
21.0,-8.385250562440646,4.141127377508284e-15,Cad1,2,A,9
188.0,-8.0104125812396,4.371861231080912e-15,Stp2,1,H,5
192.0,-7.995893105632564,5.7340313574870516e-15,Ume1,1,H,1
190.0,-8.112259290241255,5.892671250876629e-15,Stp4,1,H,3
169.0,-8.012946990785693,7.341993299205752e-15,HAP1,2,H,12
165.0,-8.11014522502786,8.495807750780643e-15,OAF1,2,G,9
155.0,-7.993873043052868,8.513232144963948e-15,Gal3,1,G,11
64.0,-7.959401154865708,1.172824447746131e-14,Pog1,2,C,4
149.0,-7.7982608002461715,1.8239481595580295e-14,Snf1,1,G,5
31.0,-7.922281744436569,1.8775829011710962e-14,Hms2,2,B,6
186.0,-7.832785403199914,2.6140559042386118e-14,Tec1,1,H,7
103.0,-7.775318460615733,2.9220628604049596e-14,Pdr8,1,E,7
48.0,-7.729511026970558,5.895555258891548e-14,Spt7,1,B,1
37.0,-7.639334093204224,6.95076804931558e-14,Hal9,1,B,12
160.0,-7.777200278635536,7.085518147112807e-14,ERT1,2,G,4
40.0,-7.5654174303436,1.0926798654130641e-13,Snf2,1,B,9
14.0,-7.62897348590409,1.4665027827494779e-13,Stb3,2,A,2
46.0,-7.540836703110574,2.0460170727020708e-13,Adr1,1,B,3
118.0,-7.8325167190370095,3.5446943905613654e-13,Spt23,2,E,10
16.0,-7.4260245202281014,5.832485123015205e-13,Hog1,2,A,4
58.0,-7.305392262709827,6.110890635184535e-13,Stb5,1,C,10
50.0,-7.259641345606869,9.230683622591686e-13,Ume6,1,C,2
123.0,-7.35509726539935,9.344102308550616e-13,YKL222C,2,F,10
69.0,-7.355699813763825,1.1905640644722902e-12,Hap5,2,C,9
47.0,-7.217355584666708,1.5279134338927022e-12,Rgt1,1,B,2
161.0,-7.228611731147848,2.6034160782344927e-12,TOD6,2,G,5
142.0,-7.09375133003932,2.886558235738281e-12,Rtg2,1,F,3
28.0,-7.142460684725604,3.881362329738327e-12,Ure2,2,B,9
100.0,-7.13540012448298,4.700345706270537e-12,Bas1,1,E,4
167.0,-7.390790794874376,4.7250310905992696e-12,RDS1,2,G,11
90.0,-7.063187948284608,5.1910877967704605e-12,Yrr1,1,D,7
27.0,-6.841479069286787,1.7998963116943653e-11,Pho4,2,B,10
68.0,-6.815619736593853,2.7321953818603052e-11,Yap7,2,C,8
147.0,-6.788338568384807,2.8107042019034876e-11,Mot2,1,G,3
1.0,-6.705682819527107,3.835156983681172e-11,Put3,1,A,1
4.0,-6.917480174364537,4.213800973960917e-11,Msn5,1,A,4
92.0,-6.668288416481749,6.217138162401957e-11,Upc2,1,D,5
125.0,-6.769657178788785,6.499341307220863e-11,SDD 4.00,2,F,8
157.0,-6.7053309373369485,6.808644281866453e-11,RCS1,2,G,1
109.0,-7.118571634630368,7.144050490132156e-11,Hac1,2,E,1
60.0,-6.608442311283847,1.0230877398041438e-10,Ecm22,1,C,12
134.0,-6.614695757040971,1.1558448356960065e-10,Spt8,1,F,11
65.0,-6.556176983822012,1.2677844686085642e-10,Hap2,2,C,5
176.0,-6.587221704804676,1.398917106991757e-10,GCR2,2,H,5
38.0,-6.455862204593383,2.127528137176623e-10,Pdr1,1,B,11
148.0,-6.425651473103704,4.4057342320016936e-10,Spt10,1,G,4
129.0,-6.42987040470757,6.711158628013196e-10,Mss11,2,F,4
185.0,-6.2500398007273,7.15658304652587e-10,Mig1,1,H,8
71.0,-6.5639205160635,7.680552783354907e-10,Sut1,2,C,11
85.0,-6.223574239036644,9.795759883361938e-10,Hsf1,1,D,12
13.0,-6.069621818673668,2.222038254389068e-09,Gat1,2,A,1
166.0,-6.094166370973887,2.5007166404063834e-09,GAL4,2,G,10
96.0,-6.1326471451358975,2.946381634156809e-09,Arg81,1,D,1
126.0,-6.120144789794222,3.0957879074528124e-09,TDA9,2,F,7
70.0,-6.075475592803909,3.993396652101765e-09,Ino2,2,C,10
7.0,-6.011228732610193,4.593716492511266e-09,Gcr1,1,A,7
91.0,-5.937582731168896,5.532190104056136e-09,Mbp1,1,D,6
121.0,-6.010390247690788,7.741903670296932e-09,OAF3,2,F,12
22.0,-5.816562298772173,1.1378737651849019e-08,Msn1,2,A,10
117.0,-5.957829039440034,2.0725474156194924e-08,Hap3,2,E,9
51.0,-5.847191097367735,2.5196370644311157e-08,Rap1,1,C,3
61.0,-5.750926671464278,2.9180647544520588e-08,Yhp1,2,C,1
11.0,-5.62097676386935,3.319755349388734e-08,Pdr3,1,A,11
49.0,-5.568174782627758,4.5825598661031275e-08,Sfl1,1,C,1
56.0,-5.478753686675376,7.12610725697854e-08,Yrm1,1,C,8
182.0,-5.343462109991764,1.3685857869728358e-07,Hfi1,1,H,11
122.0,-5.298533634463449,2.7981913044990906e-07,URC2,2,F,11
34.0,-5.238010448337962,3.5175584094246303e-07,Mig2,2,B,3
75.0,-5.187334748806283,4.938239410681506e-07,Srd1,2,D,10
6.0,-5.084351921966597,5.289521767994864e-07,War1,1,A,6
95.0,-5.0514322341116555,8.507665278470599e-07,Hot1,1,D,2
120.0,-5.005965647569669,1.8449047012052044e-06,Hpc2,2,E,12
73.0,-4.938589285532326,1.95338586472018e-06,Rgm1,2,D,12
124.0,-4.897000040237029,2.597080317459727e-06,ZMS1,2,F,9
144.0,-4.722213528529392,2.8622691073080616e-06,Xbp1,1,F,1
55.0,-4.7502047511087016,2.8630467921430705e-06,Fkh2,1,C,7
3.0,-4.525638801079089,8.012435193984191e-06,Fhl1,1,A,3
72.0,-4.5091701762892376,9.739066691719433e-06,Cup9,2,C,12
116.0,-4.526673412862939,1.126438780441711e-05,Hms1,2,E,8
24.0,-4.439412847133705,2.2355579183609796e-05,Yox1,2,A,12
128.0,-4.329023716473936,3.80585189251314e-05,Rfx1,2,F,5
114.0,-4.137165388499882,4.645583413148083e-05,Nrg1,2,E,6
127.0,-3.9751793019762887,0.00010251385791522208,GIN1,2,F,6
145.0,-3.8941122255925724,0.0001246062282668932,Crz1,1,G,1
77.0,-4.023905471045088,0.0001340625948649237,Met31,2,D,8
15.0,-3.7805108946227497,0.00018355109119420183,Uga3,2,A,3
26.0,-3.782620151321881,0.00022469124783233054,Spt3,2,B,11
170.0,-3.7702989258445063,0.00023292459560898075,DAL82,2,H,11
138.0,-3.7352431549344822,0.00031985585842986134,Tbf1,1,F,7
115.0,-3.6904205763123086,0.0003318524852714644,Rtg1,2,E,7
9.0,-3.598452830867164,0.0003541580399675202,Dal81,1,A,9
59.0,-3.414693957802504,0.0006747362285802732,Azf1,1,C,11
98.0,-3.231692321072692,0.0012808875383668666,Abf1,1,E,2
81.0,-3.4088630835716343,0.0012973323955952438,Fzf1,2,D,4
67.0,-3.208042003816175,0.0014546025311577772,Tye7,2,C,7
74.0,-3.4969701656942758,0.0014887334798312668,Met32,2,D,11
99.0,-3.1081924877000153,0.001960843125643824,Ace2,1,E,3
97.0,-3.0199854503101857,0.002668542285186803,Gis1,1,E,1
119.0,-2.971067292501409,0.003917582936214935,Pex2,2,E,11
62.0,-2.882016340377147,0.004213526764041247,Rox1,2,C,2
112.0,-3.0851151313678384,0.0042572858091645014,Lsm1,2,E,4
19.0,-2.797015372540659,0.005718650754345339,Gal80,2,A,7
139.0,-2.6594066190216874,0.010188727809977628,Sfp1,1,F,6
79.0,-2.555213304394741,0.011991250492510186,Hmo1,2,D,6
23.0,-2.4224263668499875,0.017113273367157674,Mac1,2,A,11
82.0,-2.447155111584081,0.018461170256157317,Rme1,2,D,3
44.0,-2.220701725335748,0.02931102420020109,Cat8,1,B,5
53.0,-2.1077124873470225,0.037775440722987205,Zap1,1,C,5
84.0,-2.5323131749594765,0.03910057750206925,Mcm1,2,D,1
