Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video
1,0,Channel1,122,3793.2622950819673,191157.34103735554,462778,679.8524590163935,44.459016393442624,29.998684920061805,13.3650909570157,11.731333017051004,False
1,1,Channel1,131,3668.053435114504,209844.69180117708,480515,681.5648854961833,45.541984732824424,28.412418393607428,13.943971908549758,12.117062058168328,False
1,2,Channel1,132,3510.068181818182,207399.1695936639,463329,681.4242424242424,46.53030303030303,26.659191466475413,13.98019609903169,12.171336847301411,False
1,3,Channel1,133,3309.3684210526317,160348.00712307083,440146,682.6541353383459,45.721804511278194,32.064281601058006,13.936854417935603,12.291168182667864,False
1,4,Channel1,126,3127.5476190476193,104328.26360544217,394071,682.8412698412699,44.27777777777778,34.548123096875585,13.501563189420773,12.047613779968394,False
1,5,Channel1,131,3052.343511450382,131507.52322125746,399857,683.412213740458,44.70992366412214,35.43595020795672,13.571417507869738,12.463991953300395,False
1,6,Channel1,123,2920.390243902439,105107.37616498115,359208,683.219512195122,43.479674796747965,18.763254010721724,13.576630005230335,11.646684634534527,False
1,7,Channel1,127,2910.8976377952754,133875.85566371135,369684,682.8188976377953,45.496062992125985,24.382122066225076,13.585283812933103,11.995624487877503,False
1,8,Channel1,117,2783.162393162393,86493.36679085396,325630,682.7094017094017,44.0940170940171,17.40154038955393,13.210906925338405,11.379091667938704,False
1,9,Channel1,117,2780.948717948718,104318.42472057857,325371,683.0683760683761,44.675213675213676,23.950014874485674,13.047061328229367,11.524929462974628,False
1,10,Channel1,113,2745.663716814159,84079.35594016759,310260,683.212389380531,43.283185840707965,1.8338311685702497,13.33805188655837,10.905537984141938,False
1,11,Channel1,112,2621.160714285714,88007.06345663266,293570,683.9642857142857,42.75892857142857,7.351540043596922,13.23011916700378,10.8721354418652,False
1,12,Channel1,108,2501.3703703703704,119726.25171467764,270148,684.1944444444445,41.583333333333336,7.711446103416622,13.219846428735016,10.47956727076999,False
1,13,Channel1,115,2518.8521739130433,81167.55206049151,289668,683.8782608695652,43.36521739130435,11.499193272842964,13.440989799133337,10.997623656738801,False
1,14,Channel1,107,2437.158878504673,40451.03083238711,260776,684.1121495327103,41.654205607476634,8.347129330494178,13.042124561611084,10.539894392262262,False
1,15,Channel1,114,2446.8333333333335,52756.524853801166,278939,683.1315789473684,42.921052631578945,12.344582176200296,13.171498148284101,11.099257552878816,False
1,16,Channel1,109,2223.4311926605506,47528.5755407794,242354,683.2844036697247,42.54128440366973,4.4377769754719925,13.560863828795554,10.32754510922559,False
1,17,Channel1,109,2376.394495412844,47570.000336672,259027,682.9633027522935,42.31192660550459,8.158470511324603,12.97812107862311,10.793236743683236,False
1,18,Channel1,107,2367.841121495327,42779.62896322823,253359,683.0467289719626,42.495327102803735,6.398767735423909,13.081800585960748,10.509686727893156,False
1,19,Channel1,114,682.9649122807018,4213.753154816866,77858,683.1315789473684,39.921052631578945,12.344582176200296,13.171498148284101,11.099257552878816,False
1,20,Channel1,112,2317.910714285714,49658.74202806123,259606,681.8928571428571,41.0625,12.452460532343407,13.008083185716636,11.051922194292198,False
1,21,Channel1,109,2242.651376146789,37914.28213113375,244449,682.5963302752293,41.321100917431195,10.330491976361444,12.798961394565845,10.956205505204112,False
1,22,Channel1,105,2062.847619047619,26755.291065759637,216599,682.3714285714286,39.6,8.540364739238196,12.706825959506226,10.613503858043714,False
1,23,Channel1,110,2252.081818181818,47169.184214876026,247729,681.5,40.40909090909091,6.720831012808552,13.02797320640604,10.889391009993584,False
1,24,Channel1,112,2249.1875,51256.74162946428,251909,681.8214285714286,41.13392857142857,14.108714702363702,12.920788364144386,11.128901825796602,False
1,25,Channel1,109,2393.8073394495414,54243.2748085178,260925,682.4954128440367,40.69724770642202,7.63452032569794,12.969058994478758,10.824735494971314,False
1,26,Channel1,109,1460.6697247706422,20474.67990909856,159213,682.743119266055,39.055045871559635,14.831308734799125,12.67036683781577,11.067765959709721,False
1,27,Channel1,101,2181.70297029703,38415.73355553376,220352,681.3762376237623,40.64356435643565,8.493652338550387,12.45829187621832,10.42162988536566,False
1,28,Channel1,104,2202.625,31234.02283653846,229073,680.2115384615385,41.875,13.600397229782155,12.556737580303665,10.661316345024899,False
1,29,Channel1,104,2135.1923076923076,38919.71301775148,222060,680.9230769230769,41.63461538461539,6.093472129250585,12.528731664239368,10.68534107801183,False
1,30,Channel1,106,1954.5471698113208,31991.75720897116,207182,681.7169811320755,40.443396226415096,8.830620202172891,13.070874183418315,10.404991032083814,False
1,31,Channel1,109,2146.3577981651374,40656.94537496843,233953,680.8440366972477,42.091743119266056,9.65946328918429,12.90210978313717,10.844327712589273,False
1,32,Channel1,107,2120.4392523364486,40984.73229102978,226887,680.0747663551402,42.18691588785047,17.055719245688653,12.837338130488327,10.723852928552615,False
1,33,Channel1,109,2100.302752293578,27390.46797407625,228933,681.1100917431193,42.08256880733945,14.62603307507113,12.940556113389079,10.822434382686922,False
1,34,Channel1,103,2047.893203883495,32002.367235366197,210933,680.3495145631068,42.53398058252427,9.243743482835992,12.569449735523595,10.522472636954253,False
1,35,Channel1,100,1865.03,19380.129100000002,186503,680.97,41.8,18.90553528658567,12.28007049608812,10.512785382090415,False
1,36,Channel1,109,2046.1009174311926,33953.19165053447,223025,680.5504587155963,43.12844036697248,15.71546969186917,12.402388547502552,11.267090265310067,False
1,37,Channel1,113,2029.8230088495575,35072.304957318505,229370,679.3185840707964,44.35398230088496,7.780297655930833,13.572278264213551,10.709972125128614,False
1,38,Channel1,108,1950.7592592592594,31747.719821673523,210682,680.4074074074074,42.93518518518518,14.89966785296739,12.540673122111379,11.038673864662822,False
1,39,Channel1,106,1940.4905660377358,23187.080099679606,205692,680.1981132075472,43.556603773584904,7.357521343077818,12.916254815384482,10.548251022766534,False
1,40,Channel1,105,1963.2380952380952,22135.495691609976,206140,679.6,43.36190476190476,8.880558739730176,12.714202618557726,10.631712037979069,False
2,0,Channel1,93,3745.94623655914,406626.76055035257,348373,689.4623655913979,51.064516129032256,-42.68088400707396,13.481721791205633,8.921195607889,False
2,1,Channel1,92,3529.445652173913,291034.02965500945,324709,691.195652173913,52.04347826086956,-49.344419493493376,13.452416379764893,8.905379580394031,False
2,2,Channel1,93,3384.6021505376343,313416.64816741826,314768,691.1720430107526,53.0,-50.05352130585034,13.39688482090338,9.033823449072178,False
2,3,Channel1,97,3240.5154639175257,306364.33223509404,314330,692.4948453608248,52.22680412371134,-43.57616538756935,13.551622403804197,9.250035254951158,False
2,4,Channel1,100,3134.09,293935.04189999995,313409,692.57,50.81,-46.7080024423248,13.64863582245364,9.574882586730329,False
2,5,Channel1,96,2954.7291666666665,214901.34331597225,283654,693.1041666666666,51.28125,-48.15990234111878,13.154932546135,9.47343629949941,False
2,6,Channel1,100,2889.86,212396.92040000003,288986,693.07,50.24,-42.78314296400515,13.374690051246985,9.73105459900583,False
2,7,Channel1,101,2844.6831683168316,196892.39466718948,287313,692.8415841584158,51.87128712871287,-48.47612535123302,13.4845440418482,9.7351838532574,False
2,8,Channel1,107,2792.542056074766,213885.53795091272,298802,692.3551401869158,50.55140186915888,-38.13512752276663,13.923513202789188,9.985812620628044,False
2,9,Channel1,99,2739.848484848485,163957.3608815427,271245,693.1919191919192,50.97979797979798,-52.686196469593426,13.10977914297662,9.753132307739609,False
2,10,Channel1,101,2697.980198019802,149662.25703362413,272496,693.7326732673267,49.7029702970297,-56.65969534587657,13.031266733862592,9.988267780327089,False
2,11,Channel1,96,2555.1145833333335,137651.03895399303,245291,694.3020833333334,49.197916666666664,-52.949499485178556,12.446655074625491,9.948467496226492,False
2,12,Channel1,90,2416.4666666666667,102262.11555555555,217482,694.6666666666666,48.111111111111114,-53.21185808014534,12.632682742174639,9.16465260238104,False
2,13,Channel1,96,2462.7604166666665,147870.0988498264,236425,694.5833333333334,49.8125,-61.08122069891134,12.893773892685248,9.61448459890357,False
2,14,Channel1,100,2414.36,105045.17039999997,241436,694.44,48.24,-52.740904333256495,13.229561926733657,9.764380967125552,False
2,15,Channel1,96,2375.6145833333335,140698.1535373264,228059,693.6979166666666,49.333333333333336,-62.51092292860341,12.565444288311886,9.884373420076034,False
2,16,Channel1,103,2237.757281553398,116849.17409746443,230489,694.0097087378641,49.13592233009709,-58.49522135374722,13.258997101729587,10.038013843267239,False
2,17,Channel1,100,2343.16,93517.23440000002,234316,693.78,48.66,-58.078629460256145,12.857398610829536,10.01596846014213,False
2,18,Channel1,100,2370.75,84297.6275,237075,693.77,48.77,-59.308465209430686,12.722014741825626,10.122284521740857,False
2,19,Channel1,101,678.1683168316831,7422.001372414469,68495,693.6336633663366,46.34653465346535,-55.81860931406558,12.75670962142865,10.238996664901142,False
2,20,Channel1,102,2320.2156862745096,98330.11034217606,236662,692.6372549019608,47.53921568627451,-63.326296306439176,12.849352775330374,10.230536970317957,False
2,21,Channel1,102,2264.6666666666665,93693.1437908497,230996,693.1078431372549,47.68627450980392,-59.7100720080864,13.017940455183085,10.11627842857949,False
2,22,Channel1,98,2074.2244897959185,72408.4394002499,203274,693.234693877551,45.97959183673469,-64.96708228008097,12.764584189498468,9.929816843728629,False
