Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video
1,0,Channel1,135,3932.4666666666667,447415.34518518514,530883,500.037037037037,8.214814814814815,39.132571850005064,14.168463955150374,12.208842913770294,True
1,1,Channel1,130,3664.023076923077,481002.40715976333,476323,501.37692307692305,9.315384615384616,56.94306619627527,13.76932267651218,12.118261618647884,True
1,2,Channel1,126,3529.4126984126983,307498.9407911312,444706,501.1984126984127,10.261904761904763,47.0398133476644,13.538913297135558,11.964473259756973,True
1,3,Channel1,133,3441.90977443609,224858.92419017467,457774,502.3157894736842,9.172932330827068,47.9850671836398,14.081026187334583,12.110542294325937,True
1,4,Channel1,137,3327.4671532846714,226573.92775321007,455863,502.3065693430657,8.145985401459853,39.936406208144085,14.247145499097599,12.332952335564784,True
1,5,Channel1,131,3144.610687022901,176409.19958044402,411944,502.69465648854964,8.564885496183207,33.50264253972385,14.10227367384169,11.928672556504713,True
1,6,Channel1,127,3068.464566929134,161821.22512245024,389695,502.6929133858268,7.2204724409448815,52.696482814054306,13.830610646579636,11.799783644503975,True
1,7,Channel1,136,3061.6029411764707,176503.28352076127,416378,502.0367647058824,9.080882352941176,41.82218461550085,14.304713323377317,12.173581714872217,True
1,8,Channel1,134,2991.4626865671644,170763.50233905102,400856,502.1119402985075,7.343283582089552,36.834747155623084,14.101746151969463,12.19644903605249,True
1,9,Channel1,132,2963.2045454545455,164917.60210055095,391143,502.5151515151515,7.856060606060606,46.32536631242024,13.929398327657212,12.179970897011096,True
1,10,Channel1,135,2864.8814814814814,145835.28965706448,386759,502.9925925925926,7.051851851851852,42.82883130981963,14.148382120108513,12.212788149474566,True
1,11,Channel1,132,2791.621212121212,100225.62924701559,368494,503.8181818181818,6.371212121212121,39.39746312903938,13.974461804697961,12.124273859548847,True
1,12,Channel1,134,2765.626865671642,141170.8309200267,370594,504.2089552238806,5.365671641791045,30.703593264210344,13.979268085719147,12.325427588333117,True
1,13,Channel1,131,2758.7251908396947,126599.54280053609,361393,503.5648854961832,6.854961832061068,49.543003124801466,13.90225095883348,12.102653347210016,True
1,14,Channel1,129,2684.3255813953488,102879.0877952046,346278,503.91472868217056,5.10077519379845,26.838241758488504,13.687958432468864,12.149435632944702,True
1,15,Channel1,133,2728.5714285714284,103301.58324382384,362900,502.4661654135338,6.2481203007518795,47.9362229426377,13.915273279677608,12.301379194610593,True
1,16,Channel1,132,2507.121212121212,106648.62167125805,330940,502.6439393939394,5.9393939393939394,58.819969899794465,14.065472763425882,12.035497495972493,True
1,17,Channel1,132,2628.1060606060605,117655.68572084482,346910,502.530303030303,5.75,55.97943293191308,14.231862445683054,11.909501809821991,True
1,18,Channel1,129,2532.3798449612405,83150.8712216814,326677,502.5503875968992,5.953488372093023,57.109578605684646,13.990360913555065,11.820542621430706,True
1,19,Channel1,102,736.6470588235294,5163.0322952710485,75138,502.5882352941176,3.9705882352941178,13.319681243024345,13.127565685120326,10.161201345132788,True
1,20,Channel1,65,2265.2615384615383,103868.9623668639,147242,513.6,5.953846153846154,-65.82639921069783,9.45033609142075,8.933450194330016,True
1,21,Channel1,66,2221.5454545454545,77637.85399449035,146622,513.969696969697,5.878787878787879,-61.96621700700072,9.353490354452584,9.088292836061731,True
1,22,Channel1,66,2129.6363636363635,91956.62534435261,140556,514.3030303030303,3.878787878787879,88.44246762004724,9.88669620529993,8.705414434425869,True
1,23,Channel1,64,2268.265625,85429.78881835938,145169,513.265625,5.09375,-68.3408111102448,9.39074885195538,8.79666393111383,True
1,24,Channel1,65,2230.4461538461537,101936.30863905327,144979,513.5076923076923,5.753846153846154,17.044435807858537,9.29395236618386,9.093919534063875,True
1,25,Channel1,65,2545.646153846154,97430.04402366864,165467,500.66153846153844,2.9846153846153847,-29.78735319438192,11.634474088599086,7.843699896498582,True
1,26,Channel1,62,1702.5806451612902,57796.82414151925,105560,390.51612903225805,155.8709677419355,-61.931617893134366,9.617318603633631,8.318618227294412,True
1,27,Channel1,62,2734.951612903226,155517.36862643078,169567,389.6290322580645,158.2258064516129,-54.1476730418916,9.458795141050608,8.511617989802726,True
1,28,Channel1,61,2733.8852459016393,131797.77371674284,166767,388.57377049180326,159.81967213114754,-67.69969688414415,9.431184923149168,8.33278252485723,True
1,29,Channel1,64,2804.171875,210464.07983398438,179467,390.0,159.5,-60.879740042406404,9.816039432022762,8.441825483153623,True
1,30,Channel1,64,2487.578125,105969.08764648438,159205,390.75,157.96875,-60.5167489788496,9.790193450292909,8.440814551989629,True
1,31,Channel1,63,2567.4920634920636,151400.7578735198,161752,394.36507936507934,169.95238095238096,82.76625892961118,9.613679881541243,8.459723309887105,True
1,32,Channel1,71,2670.0985915492956,189382.90577266415,189577,394.0,170.16901408450704,-82.36933563496149,9.99631463775016,9.181275862312525,True
1,33,Channel1,71,2623.943661971831,189527.96865701248,186300,394.9577464788732,169.80281690140845,59.34120832553512,10.004089100645682,9.149611159220584,True
1,34,Channel1,74,2625.3783783783783,171800.04601899194,194278,393.7567567567568,169.86486486486487,40.00787503533997,10.527133360023559,9.181894885614584,True
1,35,Channel1,81,2486.222222222222,142395.55555555556,201384,394.4320987654321,169.23456790123456,45.43016401011369,11.242864497619408,9.533202426543397,True
1,36,Channel1,71,2560.281690140845,135706.0333267209,181780,394.2676056338028,173.83098591549296,-66.12093698568704,10.462436766727645,8.802448008735473,True
1,37,Channel1,70,2677.2428571428572,76578.72673469388,187407,369.04285714285714,167.05714285714285,49.62994355113854,10.1676875596719,8.889773201667856,True
1,38,Channel1,68,2640.235294117647,72954.4152249135,179536,369.9117647058824,165.05882352941177,53.30821448556462,9.914240027927342,8.92605635596552,True
1,39,Channel1,60,2716.9,47908.69000000001,163014,385.53333333333336,168.5,-65.78845615694254,9.753365911364577,7.951519078699267,True
1,40,Channel1,70,2691.714285714286,89234.03265306122,188420,350.4428571428571,165.11428571428573,35.939956203929576,10.372753131339977,8.725880020050116,True
1,41,Channel1,71,2604.3380281690143,45680.75897639357,184908,351.84507042253523,166.35211267605635,54.061325150656664,10.679728258670723,8.585640525577043,True
1,42,Channel1,71,2632.492957746479,77847.94009125177,186907,350.2957746478873,167.66197183098592,81.18367078219761,10.801063610032656,8.529284548668137,True
1,43,Channel1,77,2837.6363636363635,89294.43919716647,218498,350.7012987012987,165.55844155844156,75.01575488559561,10.744038327326376,9.277064816171306,True
1,44,Channel1,76,2805.842105263158,98588.97506925209,213244,349.8421052631579,167.30263157894737,-79.52313234421054,10.465804015178438,9.360439279695019,True
1,45,Channel1,83,2769.7951807228915,119642.18696472637,229893,346.7590361445783,170.0722891566265,79.74756972979918,11.653259276646157,9.168130619222497,True
2,0,Channel1,99,3562.2626262626263,102639.20375471891,352664,925.8484848484849,8.01010101010101,-45.39594709926958,11.874960030778139,10.690467108445532,False
2,1,Channel1,104,3459.028846153846,142455.39339866865,359739,927.2884615384615,9.067307692307692,-39.81619981772959,12.394166920135712,10.80076252011902,False
2,2,Channel1,101,3301.138613861386,328424.0203901578,333415,926.9306930693069,9.930693069306932,-44.99999999999997,12.191800523302536,10.61342322133851,False
2,3,Channel1,105,3192.352380952381,153527.73297052152,335197,928.3333333333334,9.028571428571428,-39.95321895759945,12.571407043232176,10.748780476404255,False
2,4,Channel1,109,3110.7155963302753,159876.9007659288,339068,928.5504587155963,7.825688073394495,-22.29000090434471,12.50498502079115,11.176242398149355,False
2,5,Channel1,111,3009.6486486486488,117081.12880448013,334071,928.9639639639639,7.837837837837838,-29.816286948285793,12.67761261223271,11.274906256795699,False
2,6,Channel1,116,2966.689655172414,132452.31747919144,344136,929.1637931034483,6.517241379310345,-26.895803054757977,12.675321435520058,11.760405649847906,False
2,7,Channel1,111,2898.4324324324325,90858.37156074995,321726,928.4864864864865,8.306306306306306,-38.30736747639902,12.364666007179705,11.519035172445278,False
2,8,Channel1,111,2817.6846846846847,93214.97264832401,312763,928.5855855855856,6.702702702702703,-28.059396808364703,12.601134562824138,11.316630107249603,False
2,9,Channel1,114,2843.40350877193,100660.1705140043,324148,928.859649122807,7.298245614035087,-31.535326809827097,13.252476862894273,11.068509265698552,False
2,10,Channel1,115,2735.504347826087,105084.11085066164,314583,929.408695652174,6.321739130434783,-37.57354846365104,12.776787720093306,11.545528715182769,False
2,11,Channel1,112,2678.6696428571427,61803.203364158166,300011,930.2232142857143,5.660714285714286,-32.03104108600651,13.07546801544537,11.01963672619577,False
