Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video
1,0,Channel1,64,3274.171875,446875.8610839844,209547,292.125,40.265625,-28.29163978752773,9.474405655402018,8.700114176448233,False
1,1,Channel1,69,3158.9710144927535,362613.10060911573,217969,293.7391304347826,42.028985507246375,-25.97537249914467,10.093974691988281,8.814706897946104,False
1,2,Channel1,75,3153.8533333333335,418872.41848888877,236539,292.93333333333334,43.04,-22.972084523422122,10.781284912249602,8.99194455121195,False
1,3,Channel1,73,2988.931506849315,260064.1733908801,218192,294.4246575342466,41.87671232876713,-14.834915215833275,10.411838205838759,9.01723461780857,False
1,4,Channel1,70,2867.542857142857,194835.70530612246,200728,295.42857142857144,40.52857142857143,-11.78559089191574,10.405742076258356,8.716208560879839,False
1,5,Channel1,71,2802.9154929577467,147697.17595715134,199007,295.40845070422534,40.49295774647887,-7.531726313076809,10.845740685105145,8.448428564458526,False
1,6,Channel1,80,2866.8875,239773.82484375002,229351,295.4,39.2125,-12.015288469898966,11.586665260968196,8.929814846544351,False
1,7,Channel1,79,2800.5696202531644,165232.523634033,221245,295.0126582278481,40.89873417721519,-15.795960442973701,11.377566728708969,8.911107674588369,False
1,8,Channel1,83,2830.4578313253014,239633.52533023656,234928,295.1807228915663,39.10843373493976,-11.790455140330277,12.342284407434606,8.69664171788875,False
1,9,Channel1,82,2728.170731707317,217770.40987507434,223710,295.109756097561,39.09756097560975,-13.586645435872146,12.173914531348776,8.697358418841892,False
1,10,Channel1,84,2642.8690476190477,208580.0423752835,222001,295.26190476190476,38.23809523809524,-9.825281449210754,12.353894093293734,8.756592702828934,False
1,11,Channel1,82,2549.012195121951,143666.35350981558,209019,295.7317073170732,37.5609756097561,-14.797058558917666,12.331989483084598,8.599718480423569,False
1,12,Channel1,86,2522.813953488372,132596.63980530016,216962,295.66279069767444,36.80232558139535,-18.175594437167646,12.738911423404767,8.68533515918406,False
1,13,Channel1,82,2459.048780487805,110894.9000594884,201642,295.2926829268293,38.69512195121951,-17.397136403751244,12.429849142792053,8.50494802233145,False
1,14,Channel1,93,2541.6989247311826,205430.70505260729,236378,294.89247311827955,36.40860215053763,-20.008615589209537,13.138807138466552,9.163115044539243,False
1,15,Channel1,86,2450.220930232558,131176.42793401843,210719,293.5581395348837,38.19767441860465,-21.381124825351613,12.835374445665288,8.607862504855081,False
