Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video
1,0,Channel1,81,3605.037037037037,171266.2085048011,292008,989.7901234567901,5.827160493827161,-80.12911700848045,11.477836755709717,9.124786712306296,False
1,1,Channel1,80,3435.275,154056.77437499998,274822,991.4125,7.45,-80.30780108857024,11.879789539875018,8.753861671237571,False
1,2,Channel1,83,3316.5542168674697,125600.34344607347,275274,990.6987951807229,7.819277108433735,-80.54278067324087,11.541697973762162,9.31878487359918,False
1,3,Channel1,76,3076.934210526316,87589.64040858728,233847,992.2763157894736,6.907894736842105,-81.55713813278896,11.580205242782744,8.503533066038054,False
1,4,Channel1,75,2976.4533333333334,62089.79448888888,223234,992.32,5.96,-79.00373990674797,11.555506129740195,8.364985402751131,False
1,5,Channel1,82,2911.317073170732,91687.8506841166,238728,992.9634146341464,6.353658536585366,89.98827059934665,11.8154025018549,8.987126391359189,False
1,6,Channel1,84,2822.904761904762,64305.2052154195,237124,993.0119047619048,5.416666666666667,89.9048955663126,12.17081347775027,8.965660077253144,False
1,7,Channel1,83,2730.4698795180725,54790.68282769633,226629,992.566265060241,7.253012048192771,-82.67732252101541,11.941426342476342,9.001455338225375,False
1,8,Channel1,87,2684.7241379310344,55553.21125644073,233571,992.9310344827586,5.471264367816092,88.42913321039475,12.26033627061016,9.142964746613137,False
1,9,Channel1,84,2634.1309523809523,59715.4471371882,221267,992.7380952380952,6.523809523809524,89.2910148789065,11.805622407613402,9.19082296567057,False
1,10,Channel1,79,2543.8227848101264,88646.82935427014,200962,993.3924050632911,4.417721518987341,-88.19928988487557,11.736391321418344,8.904669899238911,False
1,11,Channel1,85,2492.576470588235,81357.89121107267,211869,994.0235294117647,4.470588235294118,84.83914416433943,11.802010359561995,9.500579501090701,False
1,12,Channel1,75,2396.5466666666666,74594.35448888889,179741,994.2533333333333,3.933333333333333,81.6892541503142,10.863011492085985,9.26580603633532,False
1,13,Channel1,85,2415.9058823529413,56802.791141868525,205352,993.8470588235294,4.870588235294117,86.23526088000091,12.086822502056165,9.171477782612458,False
1,14,Channel1,72,2326.777777777778,55584.117283950625,167528,994.1388888888889,3.7222222222222223,83.90799861634149,10.460869916193758,9.295897271042783,False
1,15,Channel1,77,2336.3246753246754,58760.08939112836,179897,992.7662337662338,4.246753246753247,86.6917816469673,11.286049652366435,9.050420653374868,False
1,16,Channel1,86,2213.1162790697676,49041.00973499189,190328,992.8953488372093,4.5813953488372094,85.92891071609392,11.804110245057542,9.532709858477823,False
1,17,Channel1,74,2280.175675675676,57429.30697589482,168733,992.4864864864865,4.0675675675675675,81.55515804379066,11.067944599508339,8.91045434119807,False
1,18,Channel1,81,2274.3703703703704,72749.39368998629,184224,993.3333333333334,4.172839506172839,76.73240296131166,11.478162848533563,9.45345582341505,False
1,19,Channel1,68,561.3529411764706,5939.904844290657,38172,993.5,3.1176470588235294,0.0,10.215586569317685,9.103829911185722,False
1,20,Channel1,67,2249.492537313433,42263.74248162174,150716,992.0,3.373134328358209,90.0,9.492218718074739,9.445216843043955,False
1,21,Channel1,68,2223.9117647058824,68695.84515570932,151226,992.25,3.514705882352941,66.23783644317241,9.99225919952438,9.137534011926181,False
1,22,Channel1,52,2256.3846153846152,186370.3520710059,117332,954.0576923076923,36.96153846153846,69.92555804765075,8.653975504057229,7.882151725151874,False
1,23,Channel1,56,2330.410714285714,119489.06345663266,130503,952.9642857142857,37.714285714285715,37.747903766577245,8.840369702751929,8.26311275185294,False
1,24,Channel1,70,2354.0,130486.94285714286,164780,953.8,38.25714285714286,-69.85205853264816,9.688723598779315,9.334382969421787,False
1,25,Channel1,78,2566.602564102564,128844.34204470743,200195,954.2820512820513,37.76923076923077,21.279452639688376,10.190084688287683,9.881600251445832,False
1,26,Channel1,82,1360.5365853658536,21709.10232004759,111564,954.9878048780488,36.51219512195122,9.402958913971137,10.458477885119214,10.190681547460448,False
1,27,Channel1,84,2494.8928571428573,69176.85756802722,209571,953.6428571428571,37.75,15.903190761275559,10.674885317122262,10.201852995089334,False
1,28,Channel1,94,2575.7340425531916,88052.89735174287,242119,952.6489361702128,38.755319148936174,13.587403612972894,11.292886556083614,10.748529319356653,False
1,29,Channel1,100,2608.37,78422.5931,260837,953.27,38.73,-16.364271559861454,11.600185995867905,11.161284456542447,False
1,30,Channel1,94,2262.8936170212764,52797.94612947035,212712,954.7021276595744,37.5,14.802411316155876,11.174268643322224,10.922097152875853,False
1,31,Channel1,99,2512.6363636363635,61920.3122130395,248751,953.2121212121212,39.18181818181818,-49.63226199256632,11.4258851201876,11.238772292940077,False
1,32,Channel1,100,2601.53,63941.3891,260153,952.46,39.09,22.02740605634451,11.515102190981414,11.231862924892656,False
1,33,Channel1,104,2520.971153846154,69829.6818602071,262181,953.5096153846154,38.64423076923077,-89.16094635504261,11.664159032861743,11.598381355519354,False
1,34,Channel1,103,2472.029126213592,48764.41662739183,254619,952.7864077669902,39.20388349514563,39.08441604602703,11.681658384269305,11.39714194209438,False
1,35,Channel1,108,2154.3055555555557,50827.76774691358,232665,953.824074074074,38.73148148148148,64.42621075346412,12.189509307660662,11.426900238562547,False
1,36,Channel1,116,2426.0172413793102,62512.12039239,281418,952.25,39.689655172413794,25.231338516373754,12.427190641070625,12.043836109925714,False
1,37,Channel1,116,2408.801724137931,64501.848617717,279421,952.0,40.44827586206897,46.203244217616124,12.423669269032592,12.059657973567171,False
1,38,Channel1,119,2380.4621848739494,53169.69394816751,283275,953.344537815126,39.436974789915965,44.011259443702585,12.644772217257323,12.073001454345144,False
1,39,Channel1,123,2362.1869918699185,67893.76178200808,290549,952.4065040650406,39.577235772357724,42.139732382993465,13.044312235915891,12.121062464314464,False
