Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video
1,0,Channel1,2,4645.0,2704.0,9290,587.0,6.5,90.0,2.8284271247461903,0.0,False
1,1,Channel1,3,4423.0,10082.666666666666,13269,588.6666666666666,7.333333333333333,45.00000000000001,2.8284271247461903,1.632993161855452,False
1,2,Channel1,34,3333.176470588235,246175.79238754328,113328,803.5,184.7058823529412,90.0,7.068798655960055,6.247423711443225,False
1,3,Channel1,47,3376.574468085106,303976.92530556815,158699,805.6382978723404,182.9787234042553,-23.001663072358674,8.21660500155639,7.4537663359320705,False
1,4,Channel1,58,3314.7241379310344,182884.68252080856,192254,806.2068965517242,181.24137931034483,-3.521019586864686,9.079693459593537,8.317261059483402,False
1,5,Channel1,62,3203.8870967741937,141546.71305931322,198641,806.4193548387096,181.7741935483871,-59.28379215445247,9.298120787549644,8.696343381704873,False
1,6,Channel1,66,3115.621212121212,139443.93227731864,205631,807.060606060606,180.45454545454547,-62.94657609260556,9.774094455214072,8.763823749829905,False
1,7,Channel1,69,3085.2753623188405,169425.76475530353,212884,805.4347826086956,182.71014492753622,-3.270192914098419,9.616542721823167,9.33215026135414,False
1,8,Channel1,72,3027.3888888888887,145986.93209876545,217972,805.9444444444445,181.06944444444446,-67.2202843166337,9.921781961560404,9.441833882133405,False
1,9,Channel1,70,2937.1428571428573,91815.693877551,205600,806.3714285714286,181.72857142857143,-9.46232220802561,9.792040541736666,9.271251677117576,False
1,10,Channel1,79,2903.278481012658,121274.50472680661,229359,806.620253164557,180.50632911392404,-72.28140791500245,10.227390666412404,9.989037798102137,False
1,11,Channel1,83,2903.10843373494,126542.2894469444,240958,807.8795180722891,180.0843373493976,36.801874257558545,10.689644917923143,10.146042971180131,False
1,12,Channel1,83,2883.0481927710844,96979.90129191465,239293,808.5542168674699,178.20481927710844,-31.271074596967114,10.50216774788203,10.195738166907548,False
1,13,Channel1,88,2920.034090909091,75161.26020144628,256963,807.125,180.54545454545453,-17.634391193428645,11.208114140085522,10.133586096860315,False
1,14,Channel1,90,2828.9,83946.5788888889,254601,807.2666666666667,177.93333333333334,-15.728411678777565,10.979276687873151,10.647961256350586,False
1,15,Channel1,98,2845.5714285714284,78718.83673469388,278866,805.9285714285714,178.9387755102041,-37.14504045465885,11.433504391085988,11.03032149472314,False
1,16,Channel1,101,2612.1485148514853,77382.52249779433,263827,806.6732673267327,178.14851485148515,-25.714876763899703,11.957540420290046,10.861659308720462,False
1,17,Channel1,110,2756.0454545454545,86223.71611570248,303165,805.8909090909091,177.35454545454544,-21.941289083855402,12.621250816381554,11.27901242313191,False
1,18,Channel1,100,2677.79,63255.3059,267779,806.48,177.44,-16.28112314683779,12.476960683854116,10.283761720492251,False
1,19,Channel1,99,699.1515151515151,4679.684113865932,69216,807.10101010101,173.82828282828282,54.17591058171029,11.429630667869384,11.175208762670893,False
